# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3608041340445
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ..................................  ...............................................................................................................................................................................................................
#
    46.54%     0.05%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    46.49%     0.05%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    35.03%     0.03%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
    34.79%     0.08%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
    34.46%     0.12%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
    34.26%     0.50%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
    26.35%     0.15%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    25.56%     0.05%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    24.34%    23.49%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
    23.34%     0.28%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    22.96%     0.61%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    22.02%     0.06%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
    21.95%     0.11%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
    20.32%     0.40%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    19.92%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    18.97%     0.09%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    17.91%     0.08%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    17.70%     0.62%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    13.02%     0.62%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    11.37%     0.12%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
     9.93%     0.15%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     9.34%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_write
     9.28%     0.07%  Executor task l  [kernel.kallsyms]                   [k] vfs_write
     9.18%     0.02%  Executor task l  [kernel.kallsyms]                   [k] new_sync_write
     9.14%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     8.47%     0.07%  Executor task l  [kernel.kallsyms]                   [k] generic_perform_write
     6.03%     0.69%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     5.43%     0.05%  Executor task l  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     5.08%     0.48%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages
     4.99%     0.57%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
