# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 994K of event 'cycles'
# Event count (approx.): 2289366954190
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                               
# ........  ........  ...............  ...................................  .....................................................................................................................................................................................................
#
    32.10%     0.09%  Executor task l  [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
    31.18%     0.07%  Executor task l  [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
    27.54%     0.34%  Executor task l  [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
    26.95%     0.58%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_interrupt
    23.72%     0.51%  Executor task l  [kernel.kallsyms]                    [k] __hrtimer_run_queues
    23.21%     0.03%  Executor task l  [kernel.kallsyms]                    [k] __run_hrtimer
    22.30%     0.05%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_timer
    21.15%     0.08%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_handle
    21.00%     0.83%  Executor task l  [kernel.kallsyms]                    [k] update_process_times
    15.21%     0.65%  Executor task l  [kernel.kallsyms]                    [k] scheduler_tick
    14.09%     0.03%  Executor task l  [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
    14.06%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_syscall_64
     8.95%     0.01%  Executor task l  [kernel.kallsyms]                    [k] ksys_read
     8.82%     0.05%  Executor task l  [kernel.kallsyms]                    [k] vfs_read
     8.68%     0.06%  Executor task l  [kernel.kallsyms]                    [k] new_sync_read
     8.56%     0.13%  Executor task l  [kernel.kallsyms]                    [k] filemap_read
     6.99%     0.85%  Executor task l  [kernel.kallsyms]                    [k] task_tick_fair
     6.00%     0.04%  Executor task l  [kernel.kallsyms]                    [k] asm_exc_page_fault
     5.99%     0.63%  Executor task l  [kernel.kallsyms]                    [k] perf_event_task_tick
     5.78%     0.01%  Executor task l  [kernel.kallsyms]                    [k] exc_page_fault
     5.68%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_user_addr_fault
     5.36%     2.34%  Executor task l  [kernel.kallsyms]                    [k] perf_adjust_freq_unthr_context
     5.13%     0.03%  Executor task l  [kernel.kallsyms]                    [k] handle_mm_fault
     5.04%     0.06%  Executor task l  [kernel.kallsyms]                    [k] __handle_mm_fault
     4.94%     0.03%  Executor task l  [kernel.kallsyms]                    [k] do_anonymous_page
     4.42%     0.03%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter
     4.39%     0.04%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter_iovec
     4.35%     4.25%  Executor task l  [kernel.kallsyms]                    [k] copy_user_generic_string
     3.92%     0.07%  Executor task l  [kernel.kallsyms]                    [k] __alloc_pages
     3.84%     0.11%  Executor task l  [kernel.kallsyms]                    [k] get_page_from_freelist
     3.56%     0.10%  Executor task l  [kernel.kallsyms]                    [k] alloc_pages_vma
     3.48%     0.02%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_pages
     3.15%     0.00%  Executor task l  [kernel.kallsyms]                    [k] __x64_sys_openat
     3.15%     0.01%  Executor task l  [kernel.kallsyms]                    [k] do_sys_openat2
     2.96%     0.25%  Executor task l  [kernel.kallsyms]                    [k] __irq_exit_rcu
     2.89%     0.05%  Executor task l  [kernel.kallsyms]                    [k] kernel_init_free_pages.part.0
     2.84%     2.77%  Executor task l  [kernel.kallsyms]                    [k] clear_page_rep
     2.79%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_filp_open
     2.77%     0.01%  Executor task l  [kernel.kallsyms]                    [k] path_openat
     2.76%     1.30%  Executor task l  [kernel.kallsyms]                    [k] update_load_avg
     2.68%     0.02%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_disable_all
     2.63%     1.37%  Executor task l  [kernel.kallsyms]                    [k] account_user_time
     2.44%     0.43%  Executor task l  [kernel.kallsyms]                    [k] __softirqentry_text_start
     2.32%     0.02%  Executor task l  [kernel.kallsyms]                    [k] page_cache_ra_unbounded
     2.25%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] kcompactd
     2.25%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] kthread
     2.25%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] ret_from_fork
     2.25%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] compact_zone
     2.24%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] proactive_compact_node
     2.18%     0.01%  kcompactd0       [kernel.kallsyms]                    [k] migrate_pages
     2.18%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] unmap_and_move
     1.87%     0.02%  kcompactd0       [kernel.kallsyms]                    [k] __unmap_and_move
     1.87%     1.68%  Executor task l  [kernel.kallsyms]                    [k] x86_pmu_disable_all
     1.75%     1.70%  Executor task l  [kernel.kallsyms]                    [k] ktime_get_update_offsets_now
     1.72%     1.04%  Executor task l  [kernel.kallsyms]                    [k] update_curr
     1.58%     0.00%  swapper          [kernel.kallsyms]                    [k] cpu_startup_entry
     1.58%     0.00%  swapper          [kernel.kallsyms]                    [k] secondary_startup_64_no_verify
     1.58%     0.01%  swapper          [kernel.kallsyms]                    [k] do_idle
     1.55%     0.15%  Executor task l  [kernel.kallsyms]                    [k] exit_to_user_mode_prepare
     1.53%     0.00%  kswapd0          [kernel.kallsyms]                    [k] kswapd
     1.53%     0.00%  kswapd0          [kernel.kallsyms]                    [k] kthread
     1.53%     0.00%  kswapd0          [kernel.kallsyms]                    [k] ret_from_fork
     1.52%     0.00%  kswapd0          [kernel.kallsyms]                    [k] balance_pgdat
     1.52%     0.00%  kswapd0          [kernel.kallsyms]                    [k] shrink_node
     1.52%     0.00%  kswapd0          [kernel.kallsyms]                    [k] shrink_node_memcgs
     1.46%     0.00%  kswapd0          [kernel.kallsyms]                    [k] shrink_lruvec
     1.40%     0.11%  Executor task l  [kernel.kallsyms]                    [k] rcu_sched_clock_irq
     1.35%     0.01%  swapper          [kernel.kallsyms]                    [k] cpuidle_idle_call
     1.29%     0.00%  kswapd0          [kernel.kallsyms]                    [k] shrink_inactive_list
     1.21%     0.09%  Executor task l  [kernel.kallsyms]                    [k] rcu_core
     1.18%     0.05%  Executor task l  [kernel.kallsyms]                    [k] exit_to_user_mode_loop
     1.13%     0.00%  swapper          [kernel.kallsyms]                    [k] cpuidle_enter
     1.13%     0.02%  swapper          [kernel.kallsyms]                    [k] cpuidle_enter_state
     1.11%     0.01%  Executor task l  [kernel.kallsyms]                    [k] irqentry_exit_to_user_mode
     1.08%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] move_to_new_page
     1.07%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] migrate_page
     1.06%     0.52%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_read_batch
     1.05%     1.02%  Executor task l  [kernel.kallsyms]                    [k] __cgroup_account_cputime_field
     1.03%     0.39%  Executor task l  [kernel.kallsyms]                    [k] rcu_pending
