# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 2168281259829
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                               
# ........  ........  ...............  ..................................  .....................................................................................................................................................................................................
#
    36.96%     0.11%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    35.85%     0.05%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    31.54%     0.40%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    30.82%     0.73%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    27.12%     0.53%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    26.59%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    25.64%     0.07%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    24.32%     0.10%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    24.15%     0.94%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    17.60%     0.80%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    16.18%     0.04%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    16.14%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
     9.72%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
     9.61%     0.05%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
     9.47%     0.06%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
     9.37%     0.14%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
     8.12%     0.87%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     6.83%     0.61%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     6.22%     2.73%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     4.75%     0.03%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
     4.73%     0.06%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
     4.72%     4.58%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
     3.94%     0.02%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
     3.55%     1.80%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     3.43%     0.26%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     3.24%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
