# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 866K of event 'cycles'
# Event count (approx.): 1646536609069
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                      
# ........  ........  ...............  ..................................  ............................................................................................................................................................
#
    37.57%     0.10%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    36.92%     0.08%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    32.57%     0.45%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    31.81%     0.77%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    27.96%     0.61%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    27.36%     0.04%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    26.26%     0.06%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    24.88%     0.10%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    24.73%     1.07%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    18.16%     0.82%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    17.00%     0.03%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    16.97%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    11.16%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
    11.02%     0.06%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
    10.86%     0.06%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
    10.74%     0.16%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
     8.18%     1.04%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     7.25%     0.69%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     6.57%     3.00%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     5.64%     0.03%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
     5.61%     0.06%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
     5.56%     5.43%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
     4.26%     0.03%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
     3.75%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     3.74%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     3.41%     0.29%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     3.34%     0.04%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
     3.34%     1.48%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     3.30%     0.01%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     3.16%     0.02%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_disable_all
     2.82%     0.54%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     2.79%     0.02%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     2.74%     1.38%  Executor task l  [kernel.kallsyms]                   [k] account_user_time
     2.27%     2.03%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     1.99%     1.21%  Executor task l  [kernel.kallsyms]                   [k] update_curr
     1.99%     1.92%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     1.94%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     1.94%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     1.94%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     1.93%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     1.93%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     1.92%     0.01%  kswapd0          [kernel.kallsyms]                   [k] shrink_node_memcgs
     1.77%     0.14%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
     1.71%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     1.51%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_inactive_list
     1.43%     0.12%  Executor task l  [kernel.kallsyms]                   [k] rcu_core
     1.35%     0.74%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_read_batch
     1.31%     0.00%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
     1.31%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
     1.31%     0.01%  swapper          [kernel.kallsyms]                   [k] do_idle
