# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3361217828671
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................
#
    48.63%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] entry_SYSCALL_64_after_hwframe
    48.58%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] do_syscall_64
    37.55%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] ksys_read
    37.31%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] vfs_read
    36.98%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] new_sync_read
    36.76%     0.54%  Executor task l  [kernel.kallsyms]                                 [k] filemap_read
    25.76%     0.15%  Executor task l  [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
    25.43%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
    24.70%    23.89%  Executor task l  [kernel.kallsyms]                                 [k] copy_user_generic_string
    23.31%     0.30%  Executor task l  [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
    22.91%     0.62%  Executor task l  [kernel.kallsyms]                                 [k] hrtimer_interrupt
    22.47%     0.08%  Executor task l  [kernel.kallsyms]                                 [k] copy_page_to_iter
    22.39%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] copy_page_to_iter_iovec
    20.25%     0.46%  Executor task l  [kernel.kallsyms]                                 [k] __hrtimer_run_queues
    19.79%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] __run_hrtimer
    18.88%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] tick_sched_timer
    17.83%     0.10%  Executor task l  [kernel.kallsyms]                                 [k] tick_sched_handle
    17.62%     0.63%  Executor task l  [kernel.kallsyms]                                 [k] update_process_times
    13.38%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] filemap_get_pages
    13.02%     0.65%  Executor task l  [kernel.kallsyms]                                 [k] scheduler_tick
    11.97%     0.20%  Executor task l  [kernel.kallsyms]                                 [k] page_cache_ra_unbounded
     9.02%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] ksys_write
     8.97%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] vfs_write
     8.90%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] new_sync_write
     8.86%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] ext4_buffered_write_iter
     8.28%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] generic_perform_write
     7.02%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] add_to_page_cache_lru
     5.90%     0.73%  Executor task l  [kernel.kallsyms]                                 [k] task_tick_fair
     5.53%     0.63%  Executor task l  [kernel.kallsyms]                                 [k] __add_to_page_cache_locked
     5.31%     0.42%  Executor task l  [kernel.kallsyms]                                 [k] __alloc_pages
     5.09%     0.54%  Executor task l  [kernel.kallsyms]                                 [k] perf_event_task_tick
