# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 860K of event 'cycles'
# Event count (approx.): 1631206823704
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                     
# ........  ........  ...............  ..................................  ...........................................................................................................................................................
#
    37.48%     0.11%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    36.83%     0.08%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    32.64%     0.44%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    31.87%     0.76%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    28.06%     0.57%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    27.49%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    26.47%     0.06%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    25.13%     0.11%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    24.97%     1.04%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    18.18%     0.80%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    17.06%     0.04%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    17.02%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    11.14%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
    11.02%     0.06%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
    10.85%     0.06%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
    10.74%     0.17%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
     8.25%     0.96%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     7.29%     0.65%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     6.65%     2.96%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     5.43%     0.03%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
     5.40%     0.06%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
     5.34%     5.22%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
     4.48%     0.03%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
     3.84%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     3.84%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     3.44%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
     3.41%     0.02%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     3.40%     1.47%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     3.34%     0.26%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     3.22%     0.02%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_disable_all
     2.98%     0.04%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
