# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3355615340298
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                           
# ........  ........  ...............  ..................................  .................................................................................................................................................................
#
    47.94%     0.05%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    47.89%     0.05%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    36.44%     0.03%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
    36.20%     0.07%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
    35.85%     0.11%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
    35.64%     0.52%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
    26.22%     0.16%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    25.87%     0.06%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    25.15%    24.32%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
    23.64%     0.31%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    23.22%     0.55%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    22.66%     0.04%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
    22.62%     0.11%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
    20.58%     0.47%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    20.11%     0.04%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    19.20%     0.08%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    18.12%     0.15%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    17.85%     0.73%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    13.28%     0.62%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    12.09%     0.11%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
    10.73%     0.23%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     9.51%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_write
     9.45%     0.06%  Executor task l  [kernel.kallsyms]                   [k] vfs_write
     9.37%     0.02%  Executor task l  [kernel.kallsyms]                   [k] new_sync_write
     9.33%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     8.70%     0.07%  Executor task l  [kernel.kallsyms]                   [k] generic_perform_write
     6.19%     0.77%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     5.85%     0.05%  Executor task l  [kernel.kallsyms]                   [k] add_to_page_cache_lru
