# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 865K of event 'cycles'
# Event count (approx.): 1633088252747
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                
# ........  ........  ...............  ..................................  ......................................................................................................................................................................
#
    37.75%     0.10%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    37.12%     0.08%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    32.74%     0.36%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    32.07%     0.78%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    28.10%     0.61%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    27.49%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    26.50%     0.06%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    25.09%     0.12%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    24.93%     1.12%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    18.27%     0.76%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    16.91%     0.05%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    16.87%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    11.19%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
    11.06%     0.06%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
    10.91%     0.06%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
    10.82%     0.16%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
     8.40%     1.01%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     7.20%     0.70%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     6.50%     2.83%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     5.56%     0.03%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
     5.53%     0.06%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
     5.47%     5.34%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
     4.41%     0.02%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
     3.70%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     3.69%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     3.45%     1.46%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     3.44%     0.30%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     3.33%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
     3.30%     0.02%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     3.26%     0.03%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_disable_all
     2.86%     0.03%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     2.82%     0.53%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     2.63%     1.49%  Executor task l  [kernel.kallsyms]                   [k] account_user_time
     2.34%     2.11%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     2.07%     2.00%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     2.06%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     2.06%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
