# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 866K of event 'cycles'
# Event count (approx.): 1633043614248
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                      
# ........  ........  ...............  ...................................  ............................................................................................................................................................
#
    37.16%     0.12%  Executor task l  [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
    36.50%     0.06%  Executor task l  [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
    32.29%     0.44%  Executor task l  [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
    31.58%     0.73%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_interrupt
    27.76%     0.58%  Executor task l  [kernel.kallsyms]                    [k] __hrtimer_run_queues
    27.18%     0.04%  Executor task l  [kernel.kallsyms]                    [k] __run_hrtimer
    26.13%     0.08%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_timer
    24.79%     0.11%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_handle
    24.63%     1.06%  Executor task l  [kernel.kallsyms]                    [k] update_process_times
    18.03%     0.85%  Executor task l  [kernel.kallsyms]                    [k] scheduler_tick
    16.83%     0.04%  Executor task l  [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
    16.79%     0.03%  Executor task l  [kernel.kallsyms]                    [k] do_syscall_64
    11.16%     0.01%  Executor task l  [kernel.kallsyms]                    [k] ksys_read
    11.03%     0.05%  Executor task l  [kernel.kallsyms]                    [k] vfs_read
    10.87%     0.05%  Executor task l  [kernel.kallsyms]                    [k] new_sync_read
    10.77%     0.16%  Executor task l  [kernel.kallsyms]                    [k] filemap_read
     8.15%     0.98%  Executor task l  [kernel.kallsyms]                    [k] task_tick_fair
     7.08%     0.61%  Executor task l  [kernel.kallsyms]                    [k] perf_event_task_tick
     6.48%     2.81%  Executor task l  [kernel.kallsyms]                    [k] perf_adjust_freq_unthr_context
     5.62%     0.03%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter
     5.60%     0.05%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter_iovec
     5.55%     5.44%  Executor task l  [kernel.kallsyms]                    [k] copy_user_generic_string
     4.33%     0.02%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_pages
     3.75%     0.01%  Executor task l  [kernel.kallsyms]                    [k] __x64_sys_openat
     3.75%     0.00%  Executor task l  [kernel.kallsyms]                    [k] do_sys_openat2
     3.38%     1.55%  Executor task l  [kernel.kallsyms]                    [k] update_load_avg
     3.36%     0.26%  Executor task l  [kernel.kallsyms]                    [k] __irq_exit_rcu
     3.35%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_filp_open
     3.32%     0.02%  Executor task l  [kernel.kallsyms]                    [k] path_openat
     3.21%     0.02%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_disable_all
     2.87%     0.02%  Executor task l  [kernel.kallsyms]                    [k] page_cache_ra_unbounded
     2.78%     0.55%  Executor task l  [kernel.kallsyms]                    [k] __softirqentry_text_start
     2.72%     1.68%  Executor task l  [kernel.kallsyms]                    [k] account_user_time
     2.20%     1.88%  Executor task l  [kernel.kallsyms]                    [k] x86_pmu_disable_all
     2.03%     1.96%  Executor task l  [kernel.kallsyms]                    [k] ktime_get_update_offsets_now
     1.94%     0.00%  kswapd0          [kernel.kallsyms]                    [k] kswapd
     1.94%     0.00%  kswapd0          [kernel.kallsyms]                    [k] kthread
     1.94%     0.00%  kswapd0          [kernel.kallsyms]                    [k] ret_from_fork
     1.93%     0.00%  kswapd0          [kernel.kallsyms]                    [k] balance_pgdat
     1.93%     0.00%  kswapd0          [kernel.kallsyms]                    [k] shrink_node
     1.93%     0.00%  kswapd0          [kernel.kallsyms]                    [k] shrink_node_memcgs
     1.86%     1.13%  Executor task l  [kernel.kallsyms]                    [k] update_curr
     1.85%     0.19%  Executor task l  [kernel.kallsyms]                    [k] rcu_sched_clock_irq
     1.83%     0.00%  kswapd0          [kernel.kallsyms]                    [k] shrink_lruvec
     1.59%     0.01%  kswapd0          [kernel.kallsyms]                    [k] shrink_inactive_list
     1.40%     0.12%  Executor task l  [kernel.kallsyms]                    [k] rcu_core
     1.35%     0.45%  Executor task l  [kernel.kallsyms]                    [k] rcu_pending
     1.34%     0.72%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_read_batch
     1.20%     0.16%  Executor task l  [kernel.kallsyms]                    [k] exit_to_user_mode_prepare
     1.19%     0.00%  swapper          [kernel.kallsyms]                    [k] cpu_startup_entry
     1.19%     0.00%  swapper          [kernel.kallsyms]                    [k] secondary_startup_64_no_verify
     1.19%     0.01%  swapper          [kernel.kallsyms]                    [k] do_idle
     1.15%     0.08%  kswapd0          [kernel.kallsyms]                    [k] shrink_page_list
     1.12%     0.99%  Executor task l  [kernel.kallsyms]                    [k] ktime_get
     1.10%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_open
     1.08%     0.00%  G1 Refine#0      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     1.08%     0.01%  Executor task l  [kernel.kallsyms]                    [k] read_pages
     1.06%     0.00%  G1 Refine#0      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     1.03%     0.01%  swapper          [kernel.kallsyms]                    [k] cpuidle_idle_call
     1.00%     0.03%  Executor task l  [kernel.kallsyms]                    [k] lookup_fast
     1.00%     0.27%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_wait_on_overflow
     0.99%     0.56%  Executor task l  [kernel.kallsyms]                    [k] update_rq_clock_task
     0.97%     0.95%  Executor task l  [kernel.kallsyms]                    [k] __d_lookup_rcu
     0.97%     0.00%  G1 Refine#1      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.97%     0.02%  Executor task l  [kernel.kallsyms]                    [k] add_to_page_cache_lru
     0.96%     0.87%  Executor task l  [kernel.kallsyms]                    [k] __update_load_avg_se
     0.95%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] kcompactd
     0.95%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] kthread
     0.95%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] ret_from_fork
     0.95%     0.00%  G1 Refine#1      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.95%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] compact_zone
     0.95%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] proactive_compact_node
     0.94%     0.01%  G1 Refine#0      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.94%     0.04%  Executor task l  [kernel.kallsyms]                    [k] exit_to_user_mode_loop
     0.93%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] migrate_pages
     0.93%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] unmap_and_move
     0.93%     0.02%  G1 Refine#0      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.89%     0.80%  Executor task l  [kernel.kallsyms]                    [k] __cgroup_account_cputime_field
     0.88%     0.88%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_active
     0.87%     0.85%  Executor task l  [kernel.kallsyms]                    [k] __update_load_avg_cfs_rq
     0.87%     0.87%  Executor task l  [kernel.kallsyms]                    [k] update_cfs_group
     0.86%     0.00%  G1 Refine#2      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.85%     0.01%  G1 Refine#1      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.84%     0.00%  swapper          [kernel.kallsyms]                    [k] cpuidle_enter
     0.84%     0.00%  G1 Refine#2      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.84%     0.02%  swapper          [kernel.kallsyms]                    [k] cpuidle_enter_state
     0.83%     0.83%  Executor task l  [kernel.kallsyms]                    [k] check_cpu_stall
     0.83%     0.02%  G1 Refine#1      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.80%     0.06%  Executor task l  [kernel.kallsyms]                    [k] link_path_walk.part.0
     0.80%     0.02%  G1 Refine#0      [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.79%     0.00%  G1 Refine#0      [kernel.kallsyms]                    [k] __run_hrtimer
     0.78%     0.05%  Executor task l  [kernel.kallsyms]                    [k] __alloc_pages
     0.78%     0.01%  Executor task l  [kernel.kallsyms]                    [k] irqentry_exit_to_user_mode
     0.76%     0.00%  G1 Conc#5        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.76%     0.00%  G1 Conc#2        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.76%     0.00%  G1 Refine#0      [kernel.kallsyms]                    [k] tick_sched_timer
     0.76%     0.00%  G1 Conc#0        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.75%     0.00%  G1 Conc#5        [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.75%     0.00%  G1 Conc#1        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.74%     0.00%  G1 Refine#3      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.74%     0.02%  Executor task l  [kernel.kallsyms]                    [k] syscall_exit_to_user_mode
     0.74%     0.00%  G1 Conc#3        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.74%     0.00%  G1 Conc#2        [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.74%     0.00%  G1 Conc#0        [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.74%     0.00%  G1 Conc#4        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.74%     0.01%  G1 Refine#2      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.74%     0.00%  GC Thread#8      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.73%     0.00%  GC Thread#13     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.73%     0.00%  G1 Conc#1        [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.73%     0.00%  GC Thread#8      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.73%     0.00%  G1 Conc#3        [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.73%     0.00%  G1 Refine#3      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.73%     0.02%  G1 Refine#1      [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.73%     0.00%  GC Thread#13     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.72%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.72%     0.00%  GC Thread#16     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.72%     0.04%  Executor task l  [kernel.kallsyms]                    [k] get_page_from_freelist
     0.72%     0.00%  G1 Conc#4        [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.72%     0.02%  G1 Refine#2      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.72%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.72%     0.00%  GC Thread#16     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.71%     0.00%  G1 Refine#0      [kernel.kallsyms]                    [k] tick_sched_handle
     0.71%     0.07%  Executor task l  [kernel.kallsyms]                    [k] ext4_mpage_readpages
     0.71%     0.00%  G1 Refine#1      [kernel.kallsyms]                    [k] __run_hrtimer
     0.71%     0.03%  G1 Refine#0      [kernel.kallsyms]                    [k] update_process_times
     0.69%     0.00%  GC Thread#15     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.69%     0.00%  GC Thread#14     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.69%     0.52%  Executor task l  [kernel.kallsyms]                    [k] xas_load
     0.69%     0.00%  GC Thread#15     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.69%     0.00%  G1 Refine#1      [kernel.kallsyms]                    [k] tick_sched_timer
     0.68%     0.00%  GC Thread#14     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.68%     0.01%  GC Thread#8      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.68%     0.01%  GC Thread#13     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.68%     0.00%  GC Thread#9      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.67%     0.01%  GC Thread#16     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.67%     0.00%  GC Thread#9      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.67%     0.01%  GC Thread#11     [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.67%     0.01%  G1 Conc#5        [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
