# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3285379816649
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ................................................  ...............................................................................................................................................................................................................
#
    48.49%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] entry_SYSCALL_64_after_hwframe
    48.44%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] do_syscall_64
    37.45%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] ksys_read
    37.20%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] vfs_read
    36.85%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] new_sync_read
    36.65%     0.53%  Executor task l  [kernel.kallsyms]                                 [k] filemap_read
    26.45%     0.16%  Executor task l  [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
    26.08%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
    24.88%    24.06%  Executor task l  [kernel.kallsyms]                                 [k] copy_user_generic_string
    23.85%     0.35%  Executor task l  [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
    23.40%     0.60%  Executor task l  [kernel.kallsyms]                                 [k] hrtimer_interrupt
    22.75%     0.08%  Executor task l  [kernel.kallsyms]                                 [k] copy_page_to_iter
    22.67%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] copy_page_to_iter_iovec
    20.71%     0.50%  Executor task l  [kernel.kallsyms]                                 [k] __hrtimer_run_queues
    20.21%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] __run_hrtimer
    19.31%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] tick_sched_timer
    18.20%     0.10%  Executor task l  [kernel.kallsyms]                                 [k] tick_sched_handle
    17.98%     0.74%  Executor task l  [kernel.kallsyms]                                 [k] update_process_times
    13.40%     0.64%  Executor task l  [kernel.kallsyms]                                 [k] scheduler_tick
    12.99%     0.13%  Executor task l  [kernel.kallsyms]                                 [k] filemap_get_pages
    11.58%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] page_cache_ra_unbounded
     8.96%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] ksys_write
     8.91%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] vfs_write
     8.83%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] new_sync_write
     8.79%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] ext4_buffered_write_iter
     8.21%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] generic_perform_write
     6.64%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] add_to_page_cache_lru
     6.10%     0.77%  Executor task l  [kernel.kallsyms]                                 [k] task_tick_fair
     5.28%     0.43%  Executor task l  [kernel.kallsyms]                                 [k] __alloc_pages
     5.26%     0.56%  Executor task l  [kernel.kallsyms]                                 [k] perf_event_task_tick
     5.19%     0.68%  Executor task l  [kernel.kallsyms]                                 [k] __add_to_page_cache_locked
     4.70%     2.34%  Executor task l  [kernel.kallsyms]                                 [k] perf_adjust_freq_unthr_context
     4.37%     0.24%  Executor task l  [kernel.kallsyms]                                 [k] get_page_from_freelist
     4.11%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] asm_exc_page_fault
     3.96%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] exc_page_fault
     3.88%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] do_user_addr_fault
     3.64%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] handle_mm_fault
     3.57%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] __handle_mm_fault
     3.54%     0.08%  Executor task l  [kernel.kallsyms]                                 [k] ext4_da_write_begin
     3.52%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] do_anonymous_page
     3.00%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] read_pages
     3.00%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] kswapd
     3.00%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] kthread
     3.00%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] ret_from_fork
     2.99%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] balance_pgdat
     2.99%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] shrink_node
     2.99%     0.01%  kswapd0          [kernel.kallsyms]                                 [k] shrink_node_memcgs
     2.82%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] shrink_lruvec
     2.72%     0.01%  kswapd0          [kernel.kallsyms]                                 [k] shrink_inactive_list
     2.65%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] alloc_pages_vma
     2.47%     0.10%  Executor task l  [kernel.kallsyms]                                 [k] copy_page_from_iter_atomic
     2.42%     1.10%  Executor task l  [kernel.kallsyms]                                 [k] update_load_avg
     2.26%     0.12%  kswapd0          [kernel.kallsyms]                                 [k] shrink_page_list
     2.11%     0.32%  Executor task l  [kernel.kallsyms]                                 [k] rmqueue
     2.04%     0.24%  Executor task l  [kernel.kallsyms]                                 [k] ext4_mpage_readpages
     2.01%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] amd_pmu_disable_all
     2.01%     2.01%  Executor task l  [kernel.kallsyms]                                 [k] native_queued_spin_lock_slowpath.part.0
     1.91%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] kernel_init_free_pages.part.0
     1.88%     1.82%  Executor task l  [kernel.kallsyms]                                 [k] clear_page_rep
     1.73%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] ext4_da_write_end
     1.68%     0.29%  Executor task l  [kernel.kallsyms]                                 [k] _raw_spin_lock_irq
     1.68%     1.08%  Executor task l  [kernel.kallsyms]                                 [k] update_curr
     1.58%     0.98%  Executor task l  [kernel.kallsyms]                                 [k] account_user_time
     1.56%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] grab_cache_page_write_begin
     1.56%     0.20%  Executor task l  [kernel.kallsyms]                                 [k] __irq_exit_rcu
     1.55%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] pagecache_get_page
     1.51%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] __mark_inode_dirty
     1.49%     1.25%  Executor task l  [kernel.kallsyms]                                 [k] x86_pmu_disable_all
     1.45%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] __block_write_begin_int
     1.43%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] asm_common_interrupt
     1.42%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] generic_write_end
     1.41%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] common_interrupt
     1.38%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] ext4_dirty_inode
     1.36%     0.93%  Executor task l  [kernel.kallsyms]                                 [k] rmqueue_bulk
     1.36%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] mem_cgroup_charge
     1.35%     0.17%  Executor task l  [kernel.kallsyms]                                 [k] lru_cache_add
     1.30%     0.80%  Executor task l  [kernel.kallsyms]                                 [k] xas_load
     1.28%     1.25%  Executor task l  [kernel.kallsyms]                                 [k] ktime_get_update_offsets_now
     1.25%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] __common_interrupt
     1.24%     0.13%  Executor task l  [kernel.kallsyms]                                 [k] rcu_sched_clock_irq
     1.22%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] handle_edge_irq
     1.19%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] __ext4_mark_inode_dirty
     1.18%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] __pagevec_lru_add
     1.12%     0.63%  Executor task l  [kernel.kallsyms]                                 [k] filemap_get_read_batch
     1.11%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] handle_irq_event
     1.06%     0.17%  Executor task l  [kernel.kallsyms]                                 [k] __softirqentry_text_start
     1.04%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] __handle_irq_event_percpu
     1.01%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] nvme_irq
     1.01%     0.10%  Executor task l  [kernel.kallsyms]                                 [k] nvme_process_cq
     0.99%     0.47%  Executor task l  [kernel.kallsyms]                                 [k] rcu_pending
     0.98%     0.05%  kswapd0          [kernel.kallsyms]                                 [k] __remove_mapping
     0.94%     0.00%  swapper          [kernel.kallsyms]                                 [k] cpu_startup_entry
     0.94%     0.00%  swapper          [kernel.kallsyms]                                 [k] secondary_startup_64_no_verify
     0.94%     0.01%  swapper          [kernel.kallsyms]                                 [k] do_idle
     0.91%     0.41%  Executor task l  [kernel.kallsyms]                                 [k] kmem_cache_alloc
     0.89%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] blk_finish_plug
     0.86%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] __alloc_pages_slowpath.constprop.0
     0.86%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] blk_mq_flush_plug_list
     0.86%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] __x64_sys_openat
     0.86%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] do_sys_openat2
     0.86%     0.78%  Executor task l  [kernel.kallsyms]                                 [k] ktime_get
     0.84%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] blk_mq_sched_insert_requests
     0.84%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] __mem_cgroup_charge
     0.83%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] blk_mq_try_issue_list_directly
     0.82%     0.30%  Executor task l  [kernel.kallsyms]                                 [k] _raw_spin_lock_irqsave
     0.82%     0.39%  Executor task l  [kernel.kallsyms]                                 [k] xas_store
     0.80%     0.01%  swapper          [kernel.kallsyms]                                 [k] cpuidle_idle_call
     0.79%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] __blk_mq_try_issue_directly
     0.76%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] do_filp_open
     0.76%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] kthread
     0.76%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] ret_from_fork
     0.76%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] worker_thread
     0.76%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] process_one_work
     0.76%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] path_openat
     0.75%     0.10%  Executor task l  [kernel.kallsyms]                                 [k] nvme_queue_rq
     0.74%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] ext4_mark_iloc_dirty
     0.74%     0.37%  Executor task l  [kernel.kallsyms]                                 [k] update_rq_clock_task
     0.73%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] wb_do_writeback
     0.73%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] wb_workfn
     0.73%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] wb_writeback
     0.73%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] __writeback_inodes_wb
     0.73%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] writeback_sb_inodes
     0.73%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] do_writepages
     0.73%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] __writeback_single_inode
     0.73%     0.00%  kworker/u64:37-  [kernel.kallsyms]                                 [k] ext4_writepages
     0.71%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] __submit_bio_noacct_mq
     0.69%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] blk_mq_submit_bio
     0.68%     0.26%  Executor task l  [kernel.kallsyms]                                 [k] ext4_do_update_inode.isra.0
     0.67%     0.60%  Executor task l  [kernel.kallsyms]                                 [k] __update_load_avg_se
     0.67%     0.21%  Executor task l  [kernel.kallsyms]                                 [k] __pagevec_lru_add_fn
     0.66%     0.66%  Executor task l  [kernel.kallsyms]                                 [k] __list_del_entry_valid
     0.65%     0.00%  swapper          [kernel.kallsyms]                                 [k] cpuidle_enter
