# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 4274814276032
#
# Children      Self  Command          Shared Object                      Symbol                                                                                                                                                                                                         
# ........  ........  ...............  .................................  ...............................................................................................................................................................................................................
#
    37.23%     0.04%  Executor task l  [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
    37.19%     0.04%  Executor task l  [kernel.kallsyms]                  [k] do_syscall_64
    27.87%     0.02%  Executor task l  [kernel.kallsyms]                  [k] ksys_read
    27.67%     0.05%  Executor task l  [kernel.kallsyms]                  [k] vfs_read
    27.41%     0.11%  Executor task l  [kernel.kallsyms]                  [k] new_sync_read
    27.23%     0.38%  Executor task l  [kernel.kallsyms]                  [k] filemap_read
    21.60%     0.13%  Executor task l  [kernel.kallsyms]                  [k] asm_sysvec_apic_timer_interrupt
    20.95%     0.04%  Executor task l  [kernel.kallsyms]                  [k] sysvec_apic_timer_interrupt
    19.30%    18.63%  Executor task l  [kernel.kallsyms]                  [k] copy_user_generic_string
    19.18%     0.27%  Executor task l  [kernel.kallsyms]                  [k] __sysvec_apic_timer_interrupt
    18.83%     0.50%  Executor task l  [kernel.kallsyms]                  [k] hrtimer_interrupt
    17.39%     0.05%  Executor task l  [kernel.kallsyms]                  [k] copy_page_to_iter
    17.34%     0.08%  Executor task l  [kernel.kallsyms]                  [k] copy_page_to_iter_iovec
    16.69%     0.36%  Executor task l  [kernel.kallsyms]                  [k] __hrtimer_run_queues
    16.32%     0.04%  Executor task l  [kernel.kallsyms]                  [k] __run_hrtimer
    15.55%     0.07%  Executor task l  [kernel.kallsyms]                  [k] tick_sched_timer
    14.63%     0.09%  Executor task l  [kernel.kallsyms]                  [k] tick_sched_handle
    14.41%     0.59%  Executor task l  [kernel.kallsyms]                  [k] update_process_times
    10.77%     0.49%  Executor task l  [kernel.kallsyms]                  [k] scheduler_tick
     9.16%     0.09%  Executor task l  [kernel.kallsyms]                  [k] filemap_get_pages
     8.05%     0.05%  Executor task l  [kernel.kallsyms]                  [k] page_cache_ra_unbounded
     7.66%     0.01%  Executor task l  [kernel.kallsyms]                  [k] ksys_write
     7.61%     0.05%  Executor task l  [kernel.kallsyms]                  [k] vfs_write
     7.54%     0.02%  Executor task l  [kernel.kallsyms]                  [k] new_sync_write
     7.51%     0.02%  Executor task l  [kernel.kallsyms]                  [k] ext4_buffered_write_iter
