# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 4651019295122
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                               
# ........  ........  ...............  ...................................  .....................................................................................................................................................................................................
#
    36.93%     0.04%  Executor task l  [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
    36.89%     0.04%  Executor task l  [kernel.kallsyms]                    [k] do_syscall_64
    27.92%     0.03%  Executor task l  [kernel.kallsyms]                    [k] ksys_read
    27.71%     0.05%  Executor task l  [kernel.kallsyms]                    [k] vfs_read
    27.43%     0.10%  Executor task l  [kernel.kallsyms]                    [k] new_sync_read
    27.26%     0.39%  Executor task l  [kernel.kallsyms]                    [k] filemap_read
    19.90%     0.14%  Executor task l  [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
    19.26%     0.06%  Executor task l  [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
    19.17%    18.50%  Executor task l  [kernel.kallsyms]                    [k] copy_user_generic_string
    17.54%     0.23%  Executor task l  [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
    17.30%     0.04%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter
    17.25%     0.08%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter_iovec
    17.21%     0.42%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_interrupt
    15.25%     0.35%  Executor task l  [kernel.kallsyms]                    [k] __hrtimer_run_queues
    14.90%     0.03%  Executor task l  [kernel.kallsyms]                    [k] __run_hrtimer
    14.21%     0.07%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_timer
    13.39%     0.06%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_handle
    13.21%     0.54%  Executor task l  [kernel.kallsyms]                    [k] update_process_times
     9.79%     0.41%  Executor task l  [kernel.kallsyms]                    [k] scheduler_tick
     9.29%     0.09%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_pages
     8.21%     0.08%  Executor task l  [kernel.kallsyms]                    [k] page_cache_ra_unbounded
     7.36%     0.01%  Executor task l  [kernel.kallsyms]                    [k] ksys_write
     7.31%     0.06%  Executor task l  [kernel.kallsyms]                    [k] vfs_write
     7.23%     0.02%  Executor task l  [kernel.kallsyms]                    [k] new_sync_write
     7.20%     0.01%  Executor task l  [kernel.kallsyms]                    [k] ext4_buffered_write_iter
     6.68%     0.06%  Executor task l  [kernel.kallsyms]                    [k] generic_perform_write
     5.08%     0.04%  Executor task l  [kernel.kallsyms]                    [k] asm_exc_page_fault
     4.92%     0.01%  Executor task l  [kernel.kallsyms]                    [k] exc_page_fault
     4.84%     0.01%  Executor task l  [kernel.kallsyms]                    [k] do_user_addr_fault
     4.75%     0.04%  Executor task l  [kernel.kallsyms]                    [k] add_to_page_cache_lru
     4.61%     0.55%  Executor task l  [kernel.kallsyms]                    [k] task_tick_fair
     4.49%     0.03%  Executor task l  [kernel.kallsyms]                    [k] handle_mm_fault
     4.41%     0.07%  Executor task l  [kernel.kallsyms]                    [k] __handle_mm_fault
