# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3879925248322
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ...................................  ...............................................................................................................................................................................................................
#
    43.26%     0.05%  Executor task l  [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
    43.21%     0.05%  Executor task l  [kernel.kallsyms]                    [k] do_syscall_64
    32.68%     0.03%  Executor task l  [kernel.kallsyms]                    [k] ksys_read
    32.42%     0.06%  Executor task l  [kernel.kallsyms]                    [k] vfs_read
    32.12%     0.14%  Executor task l  [kernel.kallsyms]                    [k] new_sync_read
    31.89%     0.47%  Executor task l  [kernel.kallsyms]                    [k] filemap_read
    23.54%     0.16%  Executor task l  [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
    22.81%     0.06%  Executor task l  [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
    22.64%    21.86%  Executor task l  [kernel.kallsyms]                    [k] copy_user_generic_string
    20.86%     0.29%  Executor task l  [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
    20.49%     0.04%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter
    20.48%     0.50%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_interrupt
    20.45%     0.11%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter_iovec
    18.27%     0.41%  Executor task l  [kernel.kallsyms]                    [k] __hrtimer_run_queues
    17.86%     0.05%  Executor task l  [kernel.kallsyms]                    [k] __run_hrtimer
    17.00%     0.08%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_timer
    16.07%     0.09%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_handle
    15.86%     0.65%  Executor task l  [kernel.kallsyms]                    [k] update_process_times
    11.79%     0.54%  Executor task l  [kernel.kallsyms]                    [k] scheduler_tick
    10.58%     0.10%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_pages
     9.24%     0.08%  Executor task l  [kernel.kallsyms]                    [k] page_cache_ra_unbounded
     8.62%     0.01%  Executor task l  [kernel.kallsyms]                    [k] ksys_write
     8.56%     0.06%  Executor task l  [kernel.kallsyms]                    [k] vfs_write
     8.47%     0.02%  Executor task l  [kernel.kallsyms]                    [k] new_sync_write
     8.44%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ext4_buffered_write_iter
     7.84%     0.06%  Executor task l  [kernel.kallsyms]                    [k] generic_perform_write
     5.89%     0.39%  Executor task l  [kernel.kallsyms]                    [k] __alloc_pages
     5.58%     0.66%  Executor task l  [kernel.kallsyms]                    [k] task_tick_fair
     5.45%     0.04%  Executor task l  [kernel.kallsyms]                    [k] asm_exc_page_fault
     5.26%     0.01%  Executor task l  [kernel.kallsyms]                    [k] exc_page_fault
     5.16%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_user_addr_fault
     5.07%     0.04%  Executor task l  [kernel.kallsyms]                    [k] add_to_page_cache_lru
     4.80%     0.03%  Executor task l  [kernel.kallsyms]                    [k] handle_mm_fault
     4.72%     0.05%  Executor task l  [kernel.kallsyms]                    [k] __handle_mm_fault
     4.64%     0.03%  Executor task l  [kernel.kallsyms]                    [k] do_anonymous_page
     4.44%     0.53%  Executor task l  [kernel.kallsyms]                    [k] perf_event_task_tick
     4.40%     0.17%  Executor task l  [kernel.kallsyms]                    [k] get_page_from_freelist
     3.92%     0.61%  Executor task l  [kernel.kallsyms]                    [k] __add_to_page_cache_locked
     3.91%     1.93%  Executor task l  [kernel.kallsyms]                    [k] perf_adjust_freq_unthr_context
     3.53%     0.05%  Executor task l  [kernel.kallsyms]                    [k] alloc_pages_vma
     3.33%     0.07%  Executor task l  [kernel.kallsyms]                    [k] ext4_da_write_begin
     3.08%     0.00%  kswapd0          [kernel.kallsyms]                    [k] kswapd
     3.08%     0.00%  kswapd0          [kernel.kallsyms]                    [k] kthread
     3.08%     0.00%  kswapd0          [kernel.kallsyms]                    [k] ret_from_fork
     3.07%     0.00%  kswapd0          [kernel.kallsyms]                    [k] balance_pgdat
     3.07%     0.00%  kswapd0          [kernel.kallsyms]                    [k] shrink_node
     3.07%     0.00%  kswapd0          [kernel.kallsyms]                    [k] shrink_node_memcgs
     2.67%     0.00%  kswapd0          [kernel.kallsyms]                    [k] shrink_lruvec
     2.60%     0.01%  kswapd0          [kernel.kallsyms]                    [k] shrink_inactive_list
     2.52%     0.04%  Executor task l  [kernel.kallsyms]                    [k] read_pages
     2.46%     0.10%  Executor task l  [kernel.kallsyms]                    [k] copy_page_from_iter_atomic
     2.32%     0.03%  Executor task l  [kernel.kallsyms]                    [k] kernel_init_free_pages.part.0
     2.29%     2.21%  Executor task l  [kernel.kallsyms]                    [k] clear_page_rep
     2.26%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] asm_exc_page_fault
     2.26%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] exc_page_fault
