# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3280087772487
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                           
# ........  ........  ...............  ...................................  .................................................................................................................................................................
#
    47.72%     0.04%  Executor task l  [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
    47.68%     0.08%  Executor task l  [kernel.kallsyms]                    [k] do_syscall_64
    36.10%     0.04%  Executor task l  [kernel.kallsyms]                    [k] ksys_read
    35.86%     0.06%  Executor task l  [kernel.kallsyms]                    [k] vfs_read
    35.58%     0.13%  Executor task l  [kernel.kallsyms]                    [k] new_sync_read
    35.37%     0.54%  Executor task l  [kernel.kallsyms]                    [k] filemap_read
    26.65%     0.15%  Executor task l  [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
    26.29%     0.06%  Executor task l  [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
    24.46%    23.66%  Executor task l  [kernel.kallsyms]                    [k] copy_user_generic_string
    23.94%     0.32%  Executor task l  [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
    23.50%     0.68%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_interrupt
    22.11%     0.08%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter
    22.04%     0.15%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter_iovec
    20.58%     0.54%  Executor task l  [kernel.kallsyms]                    [k] __hrtimer_run_queues
    20.04%     0.05%  Executor task l  [kernel.kallsyms]                    [k] __run_hrtimer
    19.04%     0.06%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_timer
    17.89%     0.03%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_handle
    17.70%     0.67%  Executor task l  [kernel.kallsyms]                    [k] update_process_times
    13.08%     0.65%  Executor task l  [kernel.kallsyms]                    [k] scheduler_tick
    12.44%     0.11%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_pages
    11.13%     0.27%  Executor task l  [kernel.kallsyms]                    [k] page_cache_ra_unbounded
     9.55%     0.01%  Executor task l  [kernel.kallsyms]                    [k] ksys_write
     9.51%     0.06%  Executor task l  [kernel.kallsyms]                    [k] vfs_write
     9.43%     0.02%  Executor task l  [kernel.kallsyms]                    [k] new_sync_write
     9.39%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ext4_buffered_write_iter
     8.76%     0.08%  Executor task l  [kernel.kallsyms]                    [k] generic_perform_write
     5.96%     0.06%  Executor task l  [kernel.kallsyms]                    [k] add_to_page_cache_lru
     5.77%     0.67%  Executor task l  [kernel.kallsyms]                    [k] task_tick_fair
     5.32%     0.40%  Executor task l  [kernel.kallsyms]                    [k] __alloc_pages
     5.21%     0.54%  Executor task l  [kernel.kallsyms]                    [k] perf_event_task_tick
     4.67%     2.31%  Executor task l  [kernel.kallsyms]                    [k] perf_adjust_freq_unthr_context
     4.38%     0.56%  Executor task l  [kernel.kallsyms]                    [k] __add_to_page_cache_locked
     4.34%     0.02%  Executor task l  [kernel.kallsyms]                    [k] asm_exc_page_fault
