# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 859K of event 'cycles'
# Event count (approx.): 1607560824714
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                           
# ........  ........  ...............  ...................................  .................................................................................................................................................................
#
    38.94%     0.10%  Executor task l  [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
    38.29%     0.07%  Executor task l  [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
    33.73%     0.38%  Executor task l  [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
    33.08%     0.81%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_interrupt
    28.85%     0.66%  Executor task l  [kernel.kallsyms]                    [k] __hrtimer_run_queues
    28.19%     0.07%  Executor task l  [kernel.kallsyms]                    [k] __run_hrtimer
    27.04%     0.05%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_timer
    25.55%     0.05%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_handle
    25.44%     1.02%  Executor task l  [kernel.kallsyms]                    [k] update_process_times
    18.73%     0.76%  Executor task l  [kernel.kallsyms]                    [k] scheduler_tick
    15.93%     0.04%  Executor task l  [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
    15.89%     0.03%  Executor task l  [kernel.kallsyms]                    [k] do_syscall_64
    10.32%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ksys_read
    10.18%     0.06%  Executor task l  [kernel.kallsyms]                    [k] vfs_read
    10.01%     0.07%  Executor task l  [kernel.kallsyms]                    [k] new_sync_read
     9.89%     0.19%  Executor task l  [kernel.kallsyms]                    [k] filemap_read
     8.32%     1.01%  Executor task l  [kernel.kallsyms]                    [k] task_tick_fair
     7.55%     0.72%  Executor task l  [kernel.kallsyms]                    [k] perf_event_task_tick
     6.83%     3.10%  Executor task l  [kernel.kallsyms]                    [k] perf_adjust_freq_unthr_context
     5.38%     0.04%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter
     5.34%     0.07%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter_iovec
     5.28%     5.14%  Executor task l  [kernel.kallsyms]                    [k] copy_user_generic_string
     4.11%     0.04%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_pages
     3.74%     0.45%  Executor task l  [kernel.kallsyms]                    [k] __irq_exit_rcu
     3.54%     0.00%  Executor task l  [kernel.kallsyms]                    [k] __x64_sys_openat
     3.54%     0.01%  Executor task l  [kernel.kallsyms]                    [k] do_sys_openat2
     3.42%     1.29%  Executor task l  [kernel.kallsyms]                    [k] update_load_avg
     3.17%     0.02%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_disable_all
     3.16%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_filp_open
     3.13%     0.02%  Executor task l  [kernel.kallsyms]                    [k] path_openat
     2.91%     0.52%  Executor task l  [kernel.kallsyms]                    [k] __softirqentry_text_start
     2.82%     1.68%  Executor task l  [kernel.kallsyms]                    [k] account_user_time
     2.81%     0.03%  Executor task l  [kernel.kallsyms]                    [k] page_cache_ra_unbounded
