# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 860K of event 'cycles'
# Event count (approx.): 1610038469085
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                     
# ........  ........  ...............  ...................................  ...........................................................................................................................................................
#
    38.40%     0.09%  Executor task l  [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
    37.75%     0.06%  Executor task l  [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
    33.20%     0.42%  Executor task l  [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
    32.53%     0.74%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_interrupt
    28.36%     0.61%  Executor task l  [kernel.kallsyms]                    [k] __hrtimer_run_queues
    27.75%     0.07%  Executor task l  [kernel.kallsyms]                    [k] __run_hrtimer
    26.71%     0.06%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_timer
    25.25%     0.06%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_handle
    25.13%     1.04%  Executor task l  [kernel.kallsyms]                    [k] update_process_times
    18.56%     0.80%  Executor task l  [kernel.kallsyms]                    [k] scheduler_tick
    16.22%     0.04%  Executor task l  [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
    16.17%     0.04%  Executor task l  [kernel.kallsyms]                    [k] do_syscall_64
    10.42%     0.01%  Executor task l  [kernel.kallsyms]                    [k] ksys_read
    10.28%     0.05%  Executor task l  [kernel.kallsyms]                    [k] vfs_read
    10.12%     0.09%  Executor task l  [kernel.kallsyms]                    [k] new_sync_read
     9.98%     0.16%  Executor task l  [kernel.kallsyms]                    [k] filemap_read
     8.41%     1.04%  Executor task l  [kernel.kallsyms]                    [k] task_tick_fair
     7.26%     0.62%  Executor task l  [kernel.kallsyms]                    [k] perf_event_task_tick
     6.64%     2.99%  Executor task l  [kernel.kallsyms]                    [k] perf_adjust_freq_unthr_context
     5.59%     0.03%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter
     5.55%     0.08%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter_iovec
     5.48%     5.35%  Executor task l  [kernel.kallsyms]                    [k] copy_user_generic_string
     4.00%     0.03%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_pages
     3.80%     0.41%  Executor task l  [kernel.kallsyms]                    [k] __irq_exit_rcu
     3.67%     0.01%  Executor task l  [kernel.kallsyms]                    [k] __x64_sys_openat
     3.66%     0.01%  Executor task l  [kernel.kallsyms]                    [k] do_sys_openat2
     3.38%     1.33%  Executor task l  [kernel.kallsyms]                    [k] update_load_avg
     3.25%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_filp_open
     3.24%     0.02%  Executor task l  [kernel.kallsyms]                    [k] path_openat
     3.07%     0.02%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_disable_all
     2.91%     0.49%  Executor task l  [kernel.kallsyms]                    [k] __softirqentry_text_start
     2.73%     1.70%  Executor task l  [kernel.kallsyms]                    [k] account_user_time
     2.62%     0.03%  Executor task l  [kernel.kallsyms]                    [k] page_cache_ra_unbounded
     2.13%     2.06%  Executor task l  [kernel.kallsyms]                    [k] ktime_get_update_offsets_now
     2.10%     1.54%  Executor task l  [kernel.kallsyms]                    [k] update_curr
     2.04%     1.89%  Executor task l  [kernel.kallsyms]                    [k] x86_pmu_disable_all
     1.75%     0.28%  Executor task l  [kernel.kallsyms]                    [k] rcu_sched_clock_irq
     1.56%     0.15%  Executor task l  [kernel.kallsyms]                    [k] rcu_core
     1.48%     0.00%  swapper          [kernel.kallsyms]                    [k] cpu_startup_entry
     1.48%     0.00%  swapper          [kernel.kallsyms]                    [k] secondary_startup_64_no_verify
     1.48%     0.01%  swapper          [kernel.kallsyms]                    [k] do_idle
     1.34%     1.21%  Executor task l  [kernel.kallsyms]                    [k] ktime_get
     1.30%     0.01%  swapper          [kernel.kallsyms]                    [k] cpuidle_idle_call
     1.28%     0.15%  Executor task l  [kernel.kallsyms]                    [k] exit_to_user_mode_prepare
     1.28%     0.43%  Executor task l  [kernel.kallsyms]                    [k] rcu_pending
     1.24%     0.65%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_read_batch
     1.15%     0.00%  G1 Refine#0      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     1.13%     0.00%  G1 Refine#0      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     1.12%     1.02%  Executor task l  [kernel.kallsyms]                    [k] __update_load_avg_se
     1.12%     0.55%  Executor task l  [kernel.kallsyms]                    [k] update_rq_clock_task
     1.10%     0.00%  swapper          [kernel.kallsyms]                    [k] cpuidle_enter
     1.10%     0.03%  swapper          [kernel.kallsyms]                    [k] cpuidle_enter_state
     1.05%     0.01%  Executor task l  [kernel.kallsyms]                    [k] read_pages
     1.04%     0.00%  G1 Refine#1      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     1.04%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_open
     1.04%     0.04%  Executor task l  [kernel.kallsyms]                    [k] exit_to_user_mode_loop
     1.02%     0.00%  G1 Refine#1      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     1.00%     0.02%  G1 Refine#0      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     1.00%     0.29%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_wait_on_overflow
     0.98%     0.03%  G1 Refine#0      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.94%     0.02%  Executor task l  [kernel.kallsyms]                    [k] lookup_fast
     0.93%     0.01%  Executor task l  [kernel.kallsyms]                    [k] add_to_page_cache_lru
     0.93%     0.90%  Executor task l  [kernel.kallsyms]                    [k] __d_lookup_rcu
     0.92%     0.91%  Executor task l  [kernel.kallsyms]                    [k] __update_load_avg_cfs_rq
     0.90%     0.01%  G1 Refine#1      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.89%     0.00%  G1 Refine#2      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.88%     0.02%  G1 Refine#1      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.87%     0.00%  G1 Refine#2      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.87%     0.87%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_active
     0.87%     0.07%  Executor task l  [kernel.kallsyms]                    [k] link_path_walk.part.0
     0.85%     0.02%  G1 Refine#0      [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.83%     0.02%  Executor task l  [kernel.kallsyms]                    [k] syscall_exit_to_user_mode
     0.83%     0.00%  G1 Refine#0      [kernel.kallsyms]                    [k] __run_hrtimer
     0.80%     0.00%  G1 Refine#0      [kernel.kallsyms]                    [k] tick_sched_timer
     0.79%     0.00%  Executor task l  [kernel.kallsyms]                    [k] irqentry_exit_to_user_mode
     0.79%     0.00%  G1 Conc#1        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.79%     0.00%  G1 Conc#0        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
