# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3368333798041
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                             
# ........  ........  ...............  ..................................  ...................................................................................................................................................................................................................
#
    48.50%     0.05%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    48.46%     0.05%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    36.97%     0.05%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
    36.71%     0.06%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
    36.43%     0.12%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
    36.21%     0.53%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
    25.81%     0.16%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    25.44%     0.05%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    24.63%    23.86%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
    23.28%     0.31%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    22.85%     0.58%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    22.32%     0.08%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
    22.24%     0.15%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
    20.13%     0.49%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    19.64%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    18.71%     0.07%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    17.57%     0.03%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    17.38%     0.58%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    13.11%     0.15%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
    13.04%     0.64%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    11.73%     0.18%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     9.41%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_write
     9.35%     0.05%  Executor task l  [kernel.kallsyms]                   [k] vfs_write
