# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3346000136016
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................
#
    47.68%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] entry_SYSCALL_64_after_hwframe
    47.64%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] do_syscall_64
    36.16%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] ksys_read
    35.90%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] vfs_read
    35.58%     0.10%  Executor task l  [kernel.kallsyms]                                 [k] new_sync_read
    35.41%     0.53%  Executor task l  [kernel.kallsyms]                                 [k] filemap_read
    26.11%     0.16%  Executor task l  [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
    25.73%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
    24.23%    23.45%  Executor task l  [kernel.kallsyms]                                 [k] copy_user_generic_string
    23.48%     0.34%  Executor task l  [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
    23.06%     0.60%  Executor task l  [kernel.kallsyms]                                 [k] hrtimer_interrupt
    22.01%     0.08%  Executor task l  [kernel.kallsyms]                                 [k] copy_page_to_iter
    21.93%     0.17%  Executor task l  [kernel.kallsyms]                                 [k] copy_page_to_iter_iovec
    20.41%     0.49%  Executor task l  [kernel.kallsyms]                                 [k] __hrtimer_run_queues
    19.92%     0.10%  Executor task l  [kernel.kallsyms]                                 [k] __run_hrtimer
    18.82%     0.08%  Executor task l  [kernel.kallsyms]                                 [k] tick_sched_timer
    17.63%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] tick_sched_handle
    17.44%     0.61%  Executor task l  [kernel.kallsyms]                                 [k] update_process_times
    12.98%     0.64%  Executor task l  [kernel.kallsyms]                                 [k] scheduler_tick
    12.60%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] filemap_get_pages
    11.26%     0.22%  Executor task l  [kernel.kallsyms]                                 [k] page_cache_ra_unbounded
     9.45%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] ksys_write
     9.40%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] vfs_write
     9.32%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] new_sync_write
     9.28%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] ext4_buffered_write_iter
     8.68%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] generic_perform_write
     6.67%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] add_to_page_cache_lru
     5.84%     0.71%  Executor task l  [kernel.kallsyms]                                 [k] task_tick_fair
     5.82%     0.32%  Executor task l  [kernel.kallsyms]                                 [k] __alloc_pages
     5.10%     0.61%  Executor task l  [kernel.kallsyms]                                 [k] __add_to_page_cache_locked
     5.07%     0.56%  Executor task l  [kernel.kallsyms]                                 [k] perf_event_task_tick
     4.68%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] asm_exc_page_fault
     4.54%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] exc_page_fault
     4.52%     2.31%  Executor task l  [kernel.kallsyms]                                 [k] perf_adjust_freq_unthr_context
     4.46%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] do_user_addr_fault
     4.19%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] handle_mm_fault
     4.11%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] __handle_mm_fault
     4.05%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] do_anonymous_page
     4.03%     0.20%  Executor task l  [kernel.kallsyms]                                 [k] get_page_from_freelist
     3.83%     0.08%  Executor task l  [kernel.kallsyms]                                 [k] ext4_da_write_begin
     3.15%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] alloc_pages_vma
     3.03%     3.03%  Executor task l  [kernel.kallsyms]                                 [k] native_queued_spin_lock_slowpath.part.0
     2.72%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] read_pages
     2.67%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] kswapd
     2.67%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] kthread
     2.67%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] ret_from_fork
     2.66%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] balance_pgdat
     2.66%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] shrink_node
     2.66%     0.01%  kswapd0          [kernel.kallsyms]                                 [k] shrink_node_memcgs
     2.60%     0.10%  Executor task l  [kernel.kallsyms]                                 [k] copy_page_from_iter_atomic
     2.45%     0.90%  Executor task l  [kernel.kallsyms]                                 [k] update_load_avg
     2.12%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] lru_gen_shrink_lruvec
     2.09%     0.00%  kswapd0          [kernel.kallsyms]                                 [k] evict_pages
     1.99%     0.34%  Executor task l  [kernel.kallsyms]                                 [k] rmqueue
