# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 864K of event 'cycles'
# Event count (approx.): 1630877788382
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                     
# ........  ........  ...............  ..................................  ...........................................................................................................................................................
#
    38.42%     0.08%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    37.82%     0.04%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    33.36%     0.40%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    32.69%     0.67%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    28.63%     0.65%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    27.98%     0.07%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    26.89%     0.05%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    25.48%     0.05%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    25.37%     0.96%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    18.78%     0.78%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    15.02%     0.04%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    14.99%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
     9.62%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
     9.48%     0.04%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
     9.33%     0.07%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
     9.22%     0.14%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
     8.62%     1.07%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     7.39%     0.63%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     6.76%     3.11%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     5.23%     0.03%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
     5.19%     0.07%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
     5.13%     5.02%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
     3.72%     0.42%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     3.65%     0.03%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
     3.60%     1.37%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     3.42%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     3.41%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     3.11%     0.02%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_disable_all
     3.03%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
     3.01%     0.01%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     2.86%     0.51%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     2.78%     1.30%  Executor task l  [kernel.kallsyms]                   [k] account_user_time
     2.40%     0.02%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     2.18%     1.99%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     2.15%     2.09%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     2.07%     1.54%  Executor task l  [kernel.kallsyms]                   [k] update_curr
     1.71%     0.27%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
     1.51%     0.15%  Executor task l  [kernel.kallsyms]                   [k] rcu_core
     1.34%     0.00%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
     1.34%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
     1.33%     0.01%  swapper          [kernel.kallsyms]                   [k] do_idle
