# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3380620946685
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                           
# ........  ........  ...............  ..................................  .................................................................................................................................................................
#
    47.93%     0.05%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    47.88%     0.05%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    36.76%     0.04%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
    36.50%     0.06%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
    36.19%     0.12%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
    35.98%     0.55%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
    25.43%     0.16%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    25.07%     0.05%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    24.39%    23.61%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
    22.81%     0.32%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    22.41%     0.71%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    22.25%     0.08%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
    22.17%     0.15%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
    19.54%     0.52%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    19.02%     0.07%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    18.14%     0.06%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    17.06%     0.03%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    16.87%     0.60%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    12.90%     0.13%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
    12.60%     0.57%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    11.53%     0.08%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     9.14%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_write
     9.10%     0.05%  Executor task l  [kernel.kallsyms]                   [k] vfs_write
     9.02%     0.02%  Executor task l  [kernel.kallsyms]                   [k] new_sync_write
     8.99%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_buffered_write_iter
     8.40%     0.08%  Executor task l  [kernel.kallsyms]                   [k] generic_perform_write
     6.91%     0.05%  Executor task l  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     5.86%     0.32%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages
     5.54%     0.76%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     5.41%     0.75%  Executor task l  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     5.10%     0.59%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     4.79%     0.03%  Executor task l  [kernel.kallsyms]                   [k] asm_exc_page_fault
     4.63%     0.01%  Executor task l  [kernel.kallsyms]                   [k] exc_page_fault
     4.54%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_user_addr_fault
     4.51%     2.26%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     4.30%     0.03%  Executor task l  [kernel.kallsyms]                   [k] handle_mm_fault
     4.24%     0.05%  Executor task l  [kernel.kallsyms]                   [k] __handle_mm_fault
     4.19%     0.05%  Executor task l  [kernel.kallsyms]                   [k] do_anonymous_page
     4.02%     0.17%  Executor task l  [kernel.kallsyms]                   [k] get_page_from_freelist
     3.61%     0.09%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_write_begin
     3.34%     0.04%  Executor task l  [kernel.kallsyms]                   [k] alloc_pages_vma
     3.25%     3.25%  Executor task l  [kernel.kallsyms]                   [k] native_queued_spin_lock_slowpath.part.0
     2.85%     0.04%  Executor task l  [kernel.kallsyms]                   [k] read_pages
     2.60%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     2.60%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     2.60%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     2.59%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     2.59%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     2.59%     0.01%  kswapd0          [kernel.kallsyms]                   [k] shrink_node_memcgs
     2.52%     0.10%  Executor task l  [kernel.kallsyms]                   [k] copy_page_from_iter_atomic
     2.14%     0.87%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     2.03%     0.39%  Executor task l  [kernel.kallsyms]                   [k] rmqueue
     1.91%     0.22%  Executor task l  [kernel.kallsyms]                   [k] ext4_mpage_readpages
     1.90%     0.24%  Executor task l  [kernel.kallsyms]                   [k] _raw_spin_lock_irq
     1.87%     0.02%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_disable_all
     1.86%     0.34%  Executor task l  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     1.82%     0.00%  kswapd0          [kernel.kallsyms]                   [k] lru_gen_shrink_lruvec
     1.81%     0.07%  Executor task l  [kernel.kallsyms]                   [k] ext4_da_write_end
     1.79%     0.00%  kswapd0          [kernel.kallsyms]                   [k] evict_pages
     1.71%     0.01%  Executor task l  [kernel.kallsyms]                   [k] kernel_init_free_pages.part.0
     1.69%     1.64%  Executor task l  [kernel.kallsyms]                   [k] clear_page_rep
     1.66%     0.26%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     1.62%     0.93%  Executor task l  [kernel.kallsyms]                   [k] account_user_time
     1.58%     0.01%  Executor task l  [kernel.kallsyms]                   [k] grab_cache_page_write_begin
     1.58%     0.05%  Executor task l  [kernel.kallsyms]                   [k] __mark_inode_dirty
     1.56%     0.03%  Executor task l  [kernel.kallsyms]                   [k] pagecache_get_page
     1.54%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages_slowpath.constprop.0
     1.51%     0.17%  Executor task l  [kernel.kallsyms]                   [k] lru_cache_add
