# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 984K of event 'cycles'
# Event count (approx.): 2239420905167
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                               
# ........  ........  ...............  ..................................  .....................................................................................................................................................................................................
#
    32.38%     0.08%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    31.43%     0.04%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    27.70%     0.32%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    27.16%     0.60%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    23.79%     0.50%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    23.29%     0.05%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    22.39%     0.04%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    21.18%     0.04%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    21.06%     0.84%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    15.65%     0.63%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    12.80%     0.03%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    12.77%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
     7.81%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
     7.67%     0.04%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
     7.54%     0.06%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
     7.44%     0.12%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
     7.36%     0.85%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     5.94%     0.57%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     5.48%     0.04%  Executor task l  [kernel.kallsyms]                   [k] asm_exc_page_fault
     5.37%     2.34%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     5.26%     0.01%  Executor task l  [kernel.kallsyms]                   [k] exc_page_fault
     5.16%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_user_addr_fault
