# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3658951943881
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ..................................  ...............................................................................................................................................................................................................
#
    46.80%     0.04%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    46.75%     0.05%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    35.26%     0.03%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
    34.99%     0.06%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
    34.70%     0.12%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
    34.52%     0.50%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
    25.51%     0.16%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    24.67%     0.05%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    24.06%    23.26%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
    22.38%     0.30%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    22.00%     0.67%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    21.78%     0.08%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
    21.70%     0.17%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
    19.29%     0.48%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    18.81%     0.04%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    17.95%     0.05%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    16.90%     0.04%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    16.70%     0.55%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    12.49%     0.62%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    11.99%     0.09%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
    10.62%     0.07%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
