# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3639496606870
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ...................................  ...............................................................................................................................................................................................................
#
    46.07%     0.05%  Executor task l  [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
    46.02%     0.05%  Executor task l  [kernel.kallsyms]                    [k] do_syscall_64
    34.69%     0.03%  Executor task l  [kernel.kallsyms]                    [k] ksys_read
    34.44%     0.06%  Executor task l  [kernel.kallsyms]                    [k] vfs_read
    34.16%     0.13%  Executor task l  [kernel.kallsyms]                    [k] new_sync_read
    33.94%     0.51%  Executor task l  [kernel.kallsyms]                    [k] filemap_read
    25.12%     0.15%  Executor task l  [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
    24.33%     0.04%  Executor task l  [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
    23.86%    23.08%  Executor task l  [kernel.kallsyms]                    [k] copy_user_generic_string
    22.15%     0.30%  Executor task l  [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
    21.76%     0.59%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_interrupt
    21.59%     0.07%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter
    21.52%     0.14%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter_iovec
    19.17%     0.43%  Executor task l  [kernel.kallsyms]                    [k] __hrtimer_run_queues
    18.74%     0.06%  Executor task l  [kernel.kallsyms]                    [k] __run_hrtimer
    17.86%     0.06%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_timer
    16.87%     0.03%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_handle
    16.70%     0.58%  Executor task l  [kernel.kallsyms]                    [k] update_process_times
    12.65%     0.65%  Executor task l  [kernel.kallsyms]                    [k] scheduler_tick
    11.59%     0.09%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_pages
    10.24%     0.29%  Executor task l  [kernel.kallsyms]                    [k] page_cache_ra_unbounded
     9.19%     0.01%  Executor task l  [kernel.kallsyms]                    [k] ksys_write
     9.13%     0.07%  Executor task l  [kernel.kallsyms]                    [k] vfs_write
     9.04%     0.02%  Executor task l  [kernel.kallsyms]                    [k] new_sync_write
     9.00%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ext4_buffered_write_iter
     8.36%     0.07%  Executor task l  [kernel.kallsyms]                    [k] generic_perform_write
     6.39%     0.33%  Executor task l  [kernel.kallsyms]                    [k] __alloc_pages
     6.27%     0.04%  Executor task l  [kernel.kallsyms]                    [k] asm_exc_page_fault
     6.07%     0.01%  Executor task l  [kernel.kallsyms]                    [k] exc_page_fault
     5.96%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_user_addr_fault
     5.88%     0.64%  Executor task l  [kernel.kallsyms]                    [k] task_tick_fair
     5.80%     0.06%  Executor task l  [kernel.kallsyms]                    [k] add_to_page_cache_lru
     5.58%     0.04%  Executor task l  [kernel.kallsyms]                    [k] handle_mm_fault
     5.48%     0.05%  Executor task l  [kernel.kallsyms]                    [k] __handle_mm_fault
     5.41%     0.05%  Executor task l  [kernel.kallsyms]                    [k] do_anonymous_page
     4.77%     0.54%  Executor task l  [kernel.kallsyms]                    [k] perf_event_task_tick
     4.55%     0.17%  Executor task l  [kernel.kallsyms]                    [k] get_page_from_freelist
     4.36%     0.70%  Executor task l  [kernel.kallsyms]                    [k] __add_to_page_cache_locked
     4.23%     2.14%  Executor task l  [kernel.kallsyms]                    [k] perf_adjust_freq_unthr_context
     4.13%     0.05%  Executor task l  [kernel.kallsyms]                    [k] alloc_pages_vma
     3.58%     0.08%  Executor task l  [kernel.kallsyms]                    [k] ext4_da_write_begin
     2.87%     2.87%  Executor task l  [kernel.kallsyms]                    [k] native_queued_spin_lock_slowpath.part.0
     2.70%     0.04%  Executor task l  [kernel.kallsyms]                    [k] read_pages
     2.63%     0.10%  Executor task l  [kernel.kallsyms]                    [k] copy_page_from_iter_atomic
     2.62%     0.00%  kswapd0          [kernel.kallsyms]                    [k] kswapd
     2.62%     0.00%  kswapd0          [kernel.kallsyms]                    [k] kthread
     2.62%     0.00%  kswapd0          [kernel.kallsyms]                    [k] ret_from_fork
     2.62%     0.00%  kswapd0          [kernel.kallsyms]                    [k] balance_pgdat
     2.62%     0.00%  kswapd0          [kernel.kallsyms]                    [k] shrink_node
     2.62%     0.00%  kswapd0          [kernel.kallsyms]                    [k] shrink_node_memcgs
     2.44%     0.98%  Executor task l  [kernel.kallsyms]                    [k] update_load_avg
     2.35%     0.03%  Executor task l  [kernel.kallsyms]                    [k] kernel_init_free_pages.part.0
     2.32%     2.25%  Executor task l  [kernel.kallsyms]                    [k] clear_page_rep
     1.92%     0.31%  Executor task l  [kernel.kallsyms]                    [k] rmqueue
     1.90%     0.01%  kswapd0          [kernel.kallsyms]                    [k] lru_gen_shrink_lruvec
     1.87%     0.00%  kswapd0          [kernel.kallsyms]                    [k] evict_pages
     1.83%     0.21%  Executor task l  [kernel.kallsyms]                    [k] ext4_mpage_readpages
     1.72%     0.01%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_disable_all
     1.71%     0.31%  Executor task l  [kernel.kallsyms]                    [k] _raw_spin_lock_irqsave
     1.66%     0.07%  Executor task l  [kernel.kallsyms]                    [k] ext4_da_write_end
     1.66%     0.26%  Executor task l  [kernel.kallsyms]                    [k] __irq_exit_rcu
     1.65%     0.00%  Executor task l  [kernel.kallsyms]                    [k] __alloc_pages_slowpath.constprop.0
     1.54%     0.88%  Executor task l  [kernel.kallsyms]                    [k] account_user_time
     1.54%     0.01%  Executor task l  [kernel.kallsyms]                    [k] grab_cache_page_write_begin
     1.54%     0.23%  Executor task l  [kernel.kallsyms]                    [k] _raw_spin_lock_irq
     1.53%     0.17%  Executor task l  [kernel.kallsyms]                    [k] lru_cache_add
     1.53%     0.02%  Executor task l  [kernel.kallsyms]                    [k] pagecache_get_page
     1.52%     0.07%  Executor task l  [kernel.kallsyms]                    [k] __block_write_begin_int
     1.52%     0.09%  kswapd0          [kernel.kallsyms]                    [k] shrink_page_list
     1.49%     0.05%  Executor task l  [kernel.kallsyms]                    [k] __mark_inode_dirty
     1.38%     0.00%  Executor task l  [kernel.kallsyms]                    [k] try_to_free_pages
     1.38%     0.00%  Executor task l  [kernel.kallsyms]                    [k] do_try_to_free_pages
     1.38%     0.00%  Executor task l  [kernel.kallsyms]                    [k] shrink_node
     1.38%     0.00%  Executor task l  [kernel.kallsyms]                    [k] shrink_zones
     1.38%     0.00%  Executor task l  [kernel.kallsyms]                    [k] shrink_node_memcgs
     1.38%     0.00%  Executor task l  [kernel.kallsyms]                    [k] lru_gen_shrink_lruvec
     1.37%     0.86%  Executor task l  [kernel.kallsyms]                    [k] update_curr
     1.37%     0.00%  Executor task l  [kernel.kallsyms]                    [k] evict_pages
     1.36%     0.13%  Executor task l  [kernel.kallsyms]                    [k] __pagevec_lru_add
     1.36%     0.03%  Executor task l  [kernel.kallsyms]                    [k] generic_write_end
     1.35%     0.03%  Executor task l  [kernel.kallsyms]                    [k] ext4_dirty_inode
     1.34%     0.00%  Executor task l  [kernel.kallsyms]                    [k] asm_common_interrupt
     1.33%     0.02%  Executor task l  [kernel.kallsyms]                    [k] shrink_page_list
     1.32%     0.01%  Executor task l  [kernel.kallsyms]                    [k] common_interrupt
     1.27%     1.12%  Executor task l  [kernel.kallsyms]                    [k] x86_pmu_disable_all
     1.26%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] kcompactd
     1.26%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] kthread
     1.26%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] ret_from_fork
     1.25%     0.02%  Executor task l  [kernel.kallsyms]                    [k] __remove_mapping
     1.25%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] compact_zone
     1.23%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] migrate_pages
     1.23%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] unmap_and_move
     1.23%     0.81%  Executor task l  [kernel.kallsyms]                    [k] rmqueue_bulk
     1.22%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] proactive_compact_node
     1.19%     0.03%  Executor task l  [kernel.kallsyms]                    [k] __common_interrupt
     1.16%     1.12%  Executor task l  [kernel.kallsyms]                    [k] ktime_get_update_offsets_now
     1.16%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] __unmap_and_move
     1.16%     0.03%  Executor task l  [kernel.kallsyms]                    [k] handle_edge_irq
     1.15%     0.02%  Executor task l  [kernel.kallsyms]                    [k] __ext4_mark_inode_dirty
     1.14%     0.03%  Executor task l  [kernel.kallsyms]                    [k] mem_cgroup_charge
     1.13%     0.71%  Executor task l  [kernel.kallsyms]                    [k] xas_load
     1.11%     0.67%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_read_batch
     1.10%     0.18%  Executor task l  [kernel.kallsyms]                    [k] rcu_sched_clock_irq
     1.06%     0.01%  Executor task l  [kernel.kallsyms]                    [k] handle_irq_event
     1.04%     0.15%  Executor task l  [kernel.kallsyms]                    [k] __softirqentry_text_start
     1.01%     0.13%  Executor task l  [kernel.kallsyms]                    [k] exit_to_user_mode_prepare
     0.99%     0.03%  Executor task l  [kernel.kallsyms]                    [k] __handle_irq_event_percpu
     0.95%     0.00%  Executor task l  [kernel.kallsyms]                    [k] nvme_irq
