# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 2109868853085
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                               
# ........  ........  ...............  ...................................  .....................................................................................................................................................................................................
#
    38.95%     0.09%  Executor task l  [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
    37.82%     0.06%  Executor task l  [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
    33.23%     0.39%  Executor task l  [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
    32.56%     0.83%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_interrupt
    28.44%     0.58%  Executor task l  [kernel.kallsyms]                    [k] __hrtimer_run_queues
    27.86%     0.05%  Executor task l  [kernel.kallsyms]                    [k] __run_hrtimer
    26.84%     0.06%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_timer
    25.45%     0.06%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_handle
    25.30%     0.99%  Executor task l  [kernel.kallsyms]                    [k] update_process_times
    18.78%     0.77%  Executor task l  [kernel.kallsyms]                    [k] scheduler_tick
    15.65%     0.04%  Executor task l  [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
    15.61%     0.04%  Executor task l  [kernel.kallsyms]                    [k] do_syscall_64
     9.06%     0.01%  Executor task l  [kernel.kallsyms]                    [k] ksys_read
     8.94%     0.04%  Executor task l  [kernel.kallsyms]                    [k] vfs_read
     8.81%     0.06%  Executor task l  [kernel.kallsyms]                    [k] new_sync_read
     8.72%     0.13%  Executor task l  [kernel.kallsyms]                    [k] filemap_read
     8.66%     0.96%  Executor task l  [kernel.kallsyms]                    [k] task_tick_fair
     7.35%     0.63%  Executor task l  [kernel.kallsyms]                    [k] perf_event_task_tick
     6.72%     2.87%  Executor task l  [kernel.kallsyms]                    [k] perf_adjust_freq_unthr_context
     4.73%     0.03%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter
     4.70%     0.06%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter_iovec
     4.69%     4.55%  Executor task l  [kernel.kallsyms]                    [k] copy_user_generic_string
     3.81%     0.48%  Executor task l  [kernel.kallsyms]                    [k] __irq_exit_rcu
     3.70%     0.03%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_pages
     3.57%     1.60%  Executor task l  [kernel.kallsyms]                    [k] update_load_avg
     3.31%     0.03%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_disable_all
     3.26%     0.01%  Executor task l  [kernel.kallsyms]                    [k] __x64_sys_openat
     3.26%     0.01%  Executor task l  [kernel.kallsyms]                    [k] do_sys_openat2
     2.95%     0.53%  Executor task l  [kernel.kallsyms]                    [k] __softirqentry_text_start
     2.90%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_filp_open
