# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 2120037017847
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                                               
# ........  ........  ...............  ................................................  .....................................................................................................................................................................................................
#
    38.75%     0.09%  Executor task l  [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
    37.57%     0.11%  Executor task l  [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
    32.93%     0.40%  Executor task l  [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
    32.27%     0.95%  Executor task l  [kernel.kallsyms]                                 [k] hrtimer_interrupt
    28.26%     0.65%  Executor task l  [kernel.kallsyms]                                 [k] __hrtimer_run_queues
    27.60%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] __run_hrtimer
    26.58%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] tick_sched_timer
    25.24%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] tick_sched_handle
    25.11%     0.99%  Executor task l  [kernel.kallsyms]                                 [k] update_process_times
    18.56%     0.74%  Executor task l  [kernel.kallsyms]                                 [k] scheduler_tick
    15.61%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] entry_SYSCALL_64_after_hwframe
    15.56%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] do_syscall_64
     9.11%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] ksys_read
     8.98%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] vfs_read
     8.84%     0.07%  Executor task l  [kernel.kallsyms]                                 [k] new_sync_read
     8.74%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] filemap_read
     8.62%     0.94%  Executor task l  [kernel.kallsyms]                                 [k] task_tick_fair
     7.28%     0.59%  Executor task l  [kernel.kallsyms]                                 [k] perf_event_task_tick
     6.69%     3.04%  Executor task l  [kernel.kallsyms]                                 [k] perf_adjust_freq_unthr_context
     4.66%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] copy_page_to_iter
     4.63%     4.48%  Executor task l  [kernel.kallsyms]                                 [k] copy_user_generic_string
     4.63%     0.05%  Executor task l  [kernel.kallsyms]                                 [k] copy_page_to_iter_iovec
     3.83%     0.44%  Executor task l  [kernel.kallsyms]                                 [k] __irq_exit_rcu
     3.81%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] filemap_get_pages
     3.78%     1.56%  Executor task l  [kernel.kallsyms]                                 [k] update_load_avg
     3.10%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] amd_pmu_disable_all
     3.09%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] __x64_sys_openat
     3.09%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] do_sys_openat2
     2.97%     0.52%  Executor task l  [kernel.kallsyms]                                 [k] __softirqentry_text_start
     2.85%     1.41%  Executor task l  [kernel.kallsyms]                                 [k] account_user_time
     2.77%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] do_filp_open
     2.74%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] path_openat
     2.59%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] page_cache_ra_unbounded
     2.09%     1.90%  Executor task l  [kernel.kallsyms]                                 [k] x86_pmu_disable_all
     2.03%     1.40%  Executor task l  [kernel.kallsyms]                                 [k] update_curr
     1.94%     0.17%  Executor task l  [kernel.kallsyms]                                 [k] exit_to_user_mode_prepare
     1.92%     1.85%  Executor task l  [kernel.kallsyms]                                 [k] ktime_get_update_offsets_now
     1.81%     0.00%  swapper          [kernel.kallsyms]                                 [k] cpu_startup_entry
     1.81%     0.00%  swapper          [kernel.kallsyms]                                 [k] secondary_startup_64_no_verify
     1.81%     0.01%  swapper          [kernel.kallsyms]                                 [k] do_idle
     1.63%     0.01%  swapper          [kernel.kallsyms]                                 [k] cpuidle_idle_call
     1.50%     0.16%  Executor task l  [kernel.kallsyms]                                 [k] rcu_core
     1.47%     0.24%  Executor task l  [kernel.kallsyms]                                 [k] rcu_sched_clock_irq
     1.47%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] irqentry_exit_to_user_mode
