# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 2119709606288
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                               
# ........  ........  ...............  ..................................  .....................................................................................................................................................................................................
#
    38.41%     0.08%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    37.28%     0.06%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    32.71%     0.38%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    32.03%     0.73%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    27.99%     0.60%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    27.39%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    26.35%     0.05%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    24.99%     0.05%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    24.85%     1.04%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    18.49%     0.76%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    15.65%     0.04%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    15.61%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
     9.02%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
     8.89%     0.05%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
     8.75%     0.07%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
     8.64%     0.13%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
     8.60%     0.93%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     7.09%     0.64%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     6.45%     2.77%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     4.65%     0.03%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
     4.62%     4.45%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
     4.62%     0.06%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
     3.79%     0.42%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     3.79%     1.54%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     3.71%     0.03%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
     3.19%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     3.19%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     3.15%     0.02%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_disable_all
     2.94%     0.50%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     2.84%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
     2.82%     0.01%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     2.56%     1.56%  Executor task l  [kernel.kallsyms]                   [k] account_user_time
     2.50%     0.02%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     2.15%     1.98%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     2.10%     2.03%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     2.08%     1.39%  Executor task l  [kernel.kallsyms]                   [k] update_curr
     1.90%     0.00%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
     1.90%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
     1.89%     0.16%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     1.89%     0.01%  swapper          [kernel.kallsyms]                   [k] do_idle
     1.71%     0.06%  swapper          [kernel.kallsyms]                   [k] cpuidle_idle_call
     1.67%     0.26%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
     1.49%     0.14%  Executor task l  [kernel.kallsyms]                   [k] rcu_core
     1.44%     0.01%  Executor task l  [kernel.kallsyms]                   [k] irqentry_exit_to_user_mode
     1.43%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
     1.43%     0.03%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
     1.39%     0.05%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_loop
     1.34%     0.07%  Executor task l  [kernel.kallsyms]                   [k] schedule
     1.33%     1.28%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_se
