# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 861K of event 'cycles'
# Event count (approx.): 1583414822661
#
# Children      Self  Command          Shared Object                              Symbol                                                                                                                                                           
# ........  ........  ...............  .........................................  .................................................................................................................................................................
#
    38.34%     0.08%  Executor task l  [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
    37.71%     0.04%  Executor task l  [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
    33.26%     0.39%  Executor task l  [kernel.kallsyms]                          [k] __sysvec_apic_timer_interrupt
    32.61%     0.74%  Executor task l  [kernel.kallsyms]                          [k] hrtimer_interrupt
    28.50%     0.55%  Executor task l  [kernel.kallsyms]                          [k] __hrtimer_run_queues
    27.95%     0.06%  Executor task l  [kernel.kallsyms]                          [k] __run_hrtimer
    26.80%     0.06%  Executor task l  [kernel.kallsyms]                          [k] tick_sched_timer
    25.37%     0.05%  Executor task l  [kernel.kallsyms]                          [k] tick_sched_handle
    25.25%     0.99%  Executor task l  [kernel.kallsyms]                          [k] update_process_times
    18.66%     0.74%  Executor task l  [kernel.kallsyms]                          [k] scheduler_tick
    16.23%     0.03%  Executor task l  [kernel.kallsyms]                          [k] entry_SYSCALL_64_after_hwframe
    16.19%     0.03%  Executor task l  [kernel.kallsyms]                          [k] do_syscall_64
    10.49%     0.02%  Executor task l  [kernel.kallsyms]                          [k] ksys_read
    10.32%     0.05%  Executor task l  [kernel.kallsyms]                          [k] vfs_read
    10.16%     0.05%  Executor task l  [kernel.kallsyms]                          [k] new_sync_read
    10.06%     0.13%  Executor task l  [kernel.kallsyms]                          [k] filemap_read
     8.71%     0.98%  Executor task l  [kernel.kallsyms]                          [k] task_tick_fair
     7.23%     0.53%  Executor task l  [kernel.kallsyms]                          [k] perf_event_task_tick
     6.70%     3.04%  Executor task l  [kernel.kallsyms]                          [k] perf_adjust_freq_unthr_context
     5.49%     0.02%  Executor task l  [kernel.kallsyms]                          [k] copy_page_to_iter
     5.46%     0.07%  Executor task l  [kernel.kallsyms]                          [k] copy_page_to_iter_iovec
     5.41%     5.28%  Executor task l  [kernel.kallsyms]                          [k] copy_user_generic_string
     4.23%     0.03%  Executor task l  [kernel.kallsyms]                          [k] filemap_get_pages
     3.78%     1.35%  Executor task l  [kernel.kallsyms]                          [k] update_load_avg
     3.71%     0.45%  Executor task l  [kernel.kallsyms]                          [k] __irq_exit_rcu
     3.63%     0.01%  Executor task l  [kernel.kallsyms]                          [k] __x64_sys_openat
     3.63%     0.01%  Executor task l  [kernel.kallsyms]                          [k] do_sys_openat2
     3.25%     0.02%  Executor task l  [kernel.kallsyms]                          [k] do_filp_open
     3.23%     0.01%  Executor task l  [kernel.kallsyms]                          [k] path_openat
     3.06%     0.02%  Executor task l  [kernel.kallsyms]                          [k] amd_pmu_disable_all
     2.90%     1.59%  Executor task l  [kernel.kallsyms]                          [k] account_user_time
     2.86%     0.49%  Executor task l  [kernel.kallsyms]                          [k] __softirqentry_text_start
     2.84%     0.04%  Executor task l  [kernel.kallsyms]                          [k] page_cache_ra_unbounded
     2.16%     2.10%  Executor task l  [kernel.kallsyms]                          [k] ktime_get_update_offsets_now
     2.05%     1.89%  Executor task l  [kernel.kallsyms]                          [k] x86_pmu_disable_all
     1.89%     1.34%  Executor task l  [kernel.kallsyms]                          [k] update_curr
     1.57%     0.27%  Executor task l  [kernel.kallsyms]                          [k] rcu_sched_clock_irq
     1.53%     0.16%  Executor task l  [kernel.kallsyms]                          [k] rcu_core
     1.31%     0.00%  swapper          [kernel.kallsyms]                          [k] cpu_startup_entry
     1.31%     0.00%  swapper          [kernel.kallsyms]                          [k] secondary_startup_64_no_verify
     1.31%     0.01%  swapper          [kernel.kallsyms]                          [k] do_idle
     1.28%     1.16%  Executor task l  [kernel.kallsyms]                          [k] ktime_get
     1.27%     0.14%  Executor task l  [kernel.kallsyms]                          [k] exit_to_user_mode_prepare
     1.26%     0.63%  Executor task l  [kernel.kallsyms]                          [k] filemap_get_read_batch
     1.25%     1.22%  Executor task l  [kernel.kallsyms]                          [k] __update_load_avg_cfs_rq
     1.19%     1.09%  Executor task l  [kernel.kallsyms]                          [k] __update_load_avg_se
     1.16%     0.01%  Executor task l  [kernel.kallsyms]                          [k] read_pages
     1.15%     0.01%  swapper          [kernel.kallsyms]                          [k] cpuidle_idle_call
     1.13%     0.39%  Executor task l  [kernel.kallsyms]                          [k] rcu_pending
     1.12%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] asm_sysvec_apic_timer_interrupt
     1.10%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] sysvec_apic_timer_interrupt
     1.08%     1.07%  Executor task l  [kernel.kallsyms]                          [k] __cgroup_account_cputime_field
     1.05%     0.55%  Executor task l  [kernel.kallsyms]                          [k] update_rq_clock_task
     1.05%     0.02%  Executor task l  [kernel.kallsyms]                          [k] do_open
     1.04%     1.04%  Executor task l  [kernel.kallsyms]                          [k] hrtimer_active
     1.01%     0.04%  Executor task l  [kernel.kallsyms]                          [k] exit_to_user_mode_loop
     0.99%     0.29%  Executor task l  [kernel.kallsyms]                          [k] amd_pmu_wait_on_overflow
