# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 858K of event 'cycles'
# Event count (approx.): 1573542348784
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                      
# ........  ........  ...............  ...................................  ............................................................................................................................................................
#
    38.77%     0.08%  Executor task l  [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
    38.13%     0.04%  Executor task l  [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
    33.56%     0.36%  Executor task l  [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
    32.95%     0.71%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_interrupt
    28.84%     0.66%  Executor task l  [kernel.kallsyms]                    [k] __hrtimer_run_queues
    28.18%     0.07%  Executor task l  [kernel.kallsyms]                    [k] __run_hrtimer
    27.01%     0.06%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_timer
    25.51%     0.05%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_handle
    25.39%     1.04%  Executor task l  [kernel.kallsyms]                    [k] update_process_times
    18.62%     0.75%  Executor task l  [kernel.kallsyms]                    [k] scheduler_tick
    16.33%     0.05%  Executor task l  [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
    16.28%     0.03%  Executor task l  [kernel.kallsyms]                    [k] do_syscall_64
    10.57%     0.01%  Executor task l  [kernel.kallsyms]                    [k] ksys_read
    10.42%     0.05%  Executor task l  [kernel.kallsyms]                    [k] vfs_read
    10.26%     0.09%  Executor task l  [kernel.kallsyms]                    [k] new_sync_read
    10.12%     0.17%  Executor task l  [kernel.kallsyms]                    [k] filemap_read
     8.55%     1.08%  Executor task l  [kernel.kallsyms]                    [k] task_tick_fair
     7.28%     0.50%  Executor task l  [kernel.kallsyms]                    [k] perf_event_task_tick
     6.77%     3.10%  Executor task l  [kernel.kallsyms]                    [k] perf_adjust_freq_unthr_context
     5.46%     0.03%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter
     5.43%     0.07%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter_iovec
     5.37%     5.25%  Executor task l  [kernel.kallsyms]                    [k] copy_user_generic_string
     4.28%     0.03%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_pages
     3.81%     0.45%  Executor task l  [kernel.kallsyms]                    [k] __irq_exit_rcu
     3.74%     0.00%  Executor task l  [kernel.kallsyms]                    [k] __x64_sys_openat
     3.74%     0.01%  Executor task l  [kernel.kallsyms]                    [k] do_sys_openat2
     3.52%     1.33%  Executor task l  [kernel.kallsyms]                    [k] update_load_avg
     3.31%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_filp_open
     3.28%     0.01%  Executor task l  [kernel.kallsyms]                    [k] path_openat
     3.10%     0.02%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_disable_all
     2.94%     0.50%  Executor task l  [kernel.kallsyms]                    [k] __softirqentry_text_start
     2.91%     1.58%  Executor task l  [kernel.kallsyms]                    [k] account_user_time
     2.91%     0.02%  Executor task l  [kernel.kallsyms]                    [k] page_cache_ra_unbounded
     2.15%     2.09%  Executor task l  [kernel.kallsyms]                    [k] ktime_get_update_offsets_now
     2.06%     1.90%  Executor task l  [kernel.kallsyms]                    [k] x86_pmu_disable_all
     1.95%     1.40%  Executor task l  [kernel.kallsyms]                    [k] update_curr
     1.72%     0.30%  Executor task l  [kernel.kallsyms]                    [k] rcu_sched_clock_irq
     1.55%     0.15%  Executor task l  [kernel.kallsyms]                    [k] rcu_core
     1.37%     1.24%  Executor task l  [kernel.kallsyms]                    [k] ktime_get
     1.24%     0.00%  swapper          [kernel.kallsyms]                    [k] cpu_startup_entry
     1.24%     0.00%  swapper          [kernel.kallsyms]                    [k] secondary_startup_64_no_verify
     1.24%     0.01%  swapper          [kernel.kallsyms]                    [k] do_idle
     1.24%     0.14%  Executor task l  [kernel.kallsyms]                    [k] exit_to_user_mode_prepare
     1.24%     0.42%  Executor task l  [kernel.kallsyms]                    [k] rcu_pending
     1.23%     0.61%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_read_batch
     1.22%     0.01%  Executor task l  [kernel.kallsyms]                    [k] read_pages
     1.16%     1.14%  Executor task l  [kernel.kallsyms]                    [k] __update_load_avg_cfs_rq
     1.15%     0.00%  G1 Refine#0      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     1.13%     0.00%  G1 Refine#0      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     1.09%     0.54%  Executor task l  [kernel.kallsyms]                    [k] update_rq_clock_task
     1.08%     0.01%  swapper          [kernel.kallsyms]                    [k] cpuidle_idle_call
     1.05%     0.02%  Executor task l  [kernel.kallsyms]                    [k] lookup_fast
     1.04%     0.94%  Executor task l  [kernel.kallsyms]                    [k] __update_load_avg_se
     1.03%     0.03%  Executor task l  [kernel.kallsyms]                    [k] do_open
     1.03%     0.00%  G1 Refine#1      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     1.02%     1.00%  Executor task l  [kernel.kallsyms]                    [k] __d_lookup_rcu
     1.01%     0.00%  G1 Refine#1      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     1.01%     0.28%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_wait_on_overflow
     1.00%     0.01%  G1 Refine#0      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.99%     0.02%  Executor task l  [kernel.kallsyms]                    [k] add_to_page_cache_lru
     0.99%     0.03%  G1 Refine#0      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.98%     0.03%  Executor task l  [kernel.kallsyms]                    [k] exit_to_user_mode_loop
     0.98%     0.87%  Executor task l  [kernel.kallsyms]                    [k] __cgroup_account_cputime_field
     0.96%     0.96%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_active
     0.90%     0.00%  swapper          [kernel.kallsyms]                    [k] cpuidle_enter
     0.89%     0.02%  swapper          [kernel.kallsyms]                    [k] cpuidle_enter_state
     0.89%     0.01%  G1 Refine#1      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.89%     0.00%  G1 Refine#2      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.88%     0.02%  G1 Refine#1      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.87%     0.06%  Executor task l  [kernel.kallsyms]                    [k] link_path_walk.part.0
     0.87%     0.00%  G1 Refine#2      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.85%     0.02%  G1 Refine#0      [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.85%     0.85%  Executor task l  [kernel.kallsyms]                    [k] update_cfs_group
     0.84%     0.00%  G1 Refine#0      [kernel.kallsyms]                    [k] __run_hrtimer
     0.82%     0.07%  Executor task l  [kernel.kallsyms]                    [k] ext4_mpage_readpages
     0.80%     0.03%  Executor task l  [kernel.kallsyms]                    [k] syscall_exit_to_user_mode
     0.80%     0.00%  G1 Refine#0      [kernel.kallsyms]                    [k] tick_sched_timer
     0.79%     0.00%  G1 Conc#0        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.79%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.79%     0.00%  G1 Conc#1        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.79%     0.00%  G1 Conc#4        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.79%     0.00%  GC Thread#15     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.78%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.78%     0.01%  Executor task l  [kernel.kallsyms]                    [k] irqentry_exit_to_user_mode
     0.78%     0.00%  G1 Conc#2        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.78%     0.00%  GC Thread#15     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.78%     0.00%  G1 Conc#5        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.78%     0.00%  G1 Conc#0        [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.77%     0.00%  G1 Conc#1        [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.77%     0.00%  G1 Conc#4        [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.77%     0.00%  GC Thread#21     [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.77%     0.00%  G1 Conc#2        [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.77%     0.01%  G1 Refine#2      [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
     0.76%     0.00%  G1 Conc#3        [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.76%     0.00%  GC Thread#21     [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.76%     0.00%  G1 Conc#5        [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.76%     0.02%  G1 Refine#1      [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.76%     0.00%  G1 Refine#0      [kernel.kallsyms]                    [k] tick_sched_handle
     0.75%     0.03%  G1 Refine#0      [kernel.kallsyms]                    [k] update_process_times
     0.75%     0.00%  GC Thread#0      [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
     0.75%     0.02%  G1 Refine#2      [kernel.kallsyms]                    [k] hrtimer_interrupt
     0.75%     0.00%  G1 Conc#3        [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
     0.74%     0.00%  GC Thread#0      [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
