# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 860K of event 'cycles'
# Event count (approx.): 1583175347728
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                      
# ........  ........  ...............  ..................................  ............................................................................................................................................................
#
    38.36%     0.09%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    37.73%     0.05%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    33.25%     0.42%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    32.55%     0.65%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    28.49%     0.62%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    27.88%     0.07%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    26.73%     0.05%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    25.32%     0.05%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    25.21%     1.02%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    18.53%     0.78%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    15.96%     0.04%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    15.93%     0.04%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
    10.13%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
     9.98%     0.05%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
     9.83%     0.07%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
     9.71%     0.14%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
     8.48%     0.97%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     7.19%     0.54%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     6.65%     2.99%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     5.42%     0.04%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
     5.38%     0.07%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
     5.33%     5.21%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
     3.94%     0.03%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
     3.76%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     3.76%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     3.73%     0.41%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     3.67%     1.36%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     3.36%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
     3.34%     0.01%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     3.07%     0.02%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_disable_all
     2.89%     0.52%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     2.82%     1.53%  Executor task l  [kernel.kallsyms]                   [k] account_user_time
     2.55%     0.03%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     2.19%     2.12%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     2.05%     1.87%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     1.95%     1.38%  Executor task l  [kernel.kallsyms]                   [k] update_curr
     1.70%     0.27%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
     1.52%     0.14%  Executor task l  [kernel.kallsyms]                   [k] rcu_core
     1.33%     0.01%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
     1.33%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
     1.33%     0.01%  swapper          [kernel.kallsyms]                   [k] do_idle
     1.27%     1.14%  Executor task l  [kernel.kallsyms]                   [k] ktime_get
     1.27%     0.66%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_read_batch
     1.26%     0.14%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     1.23%     0.44%  Executor task l  [kernel.kallsyms]                   [k] rcu_pending
     1.22%     1.20%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_cfs_rq
     1.19%     1.15%  Executor task l  [kernel.kallsyms]                   [k] __cgroup_account_cputime_field
     1.15%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_idle_call
     1.14%     0.00%  G1 Refine#0      [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     1.11%     0.00%  G1 Refine#0      [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     1.10%     1.00%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_se
     1.08%     0.57%  Executor task l  [kernel.kallsyms]                   [k] update_rq_clock_task
     1.06%     0.03%  Executor task l  [kernel.kallsyms]                   [k] do_open
     1.04%     0.00%  G1 Refine#1      [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     1.02%     0.00%  G1 Refine#1      [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     1.01%     0.01%  Executor task l  [kernel.kallsyms]                   [k] read_pages
     1.01%     0.03%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_loop
     1.00%     0.28%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_wait_on_overflow
     0.99%     0.01%  G1 Refine#0      [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.98%     0.02%  Executor task l  [kernel.kallsyms]                   [k] lookup_fast
     0.98%     0.02%  G1 Refine#0      [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.96%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
     0.96%     0.94%  Executor task l  [kernel.kallsyms]                   [k] __d_lookup_rcu
     0.96%     0.02%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
     0.91%     0.01%  Executor task l  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     0.90%     0.90%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_active
     0.89%     0.01%  G1 Refine#1      [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.88%     0.02%  G1 Refine#1      [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.87%     0.00%  G1 Refine#2      [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.87%     0.07%  Executor task l  [kernel.kallsyms]                   [k] link_path_walk.part.0
     0.85%     0.00%  G1 Refine#2      [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.85%     0.02%  G1 Refine#0      [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.83%     0.03%  Executor task l  [kernel.kallsyms]                   [k] syscall_exit_to_user_mode
     0.83%     0.00%  G1 Refine#0      [kernel.kallsyms]                   [k] __run_hrtimer
     0.82%     0.00%  GC Thread#9      [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.81%     0.00%  GC Thread#2      [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.81%     0.00%  GC Thread#2      [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.81%     0.00%  GC Thread#9      [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.81%     0.00%  G1 Conc#2        [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
