# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 866K of event 'cycles'
# Event count (approx.): 1602162872228
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ...................................  ...............................................................................................................................................................................................................
#
    37.78%     0.09%  Executor task l  [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
    37.13%     0.06%  Executor task l  [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
    32.65%     0.43%  Executor task l  [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
    31.95%     0.80%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_interrupt
    27.83%     0.63%  Executor task l  [kernel.kallsyms]                    [k] __hrtimer_run_queues
    27.20%     0.09%  Executor task l  [kernel.kallsyms]                    [k] __run_hrtimer
    26.08%     0.05%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_timer
    24.68%     0.05%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_handle
    24.57%     1.01%  Executor task l  [kernel.kallsyms]                    [k] update_process_times
    18.07%     0.78%  Executor task l  [kernel.kallsyms]                    [k] scheduler_tick
    16.42%     0.05%  Executor task l  [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
    16.38%     0.04%  Executor task l  [kernel.kallsyms]                    [k] do_syscall_64
    10.61%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ksys_read
    10.46%     0.05%  Executor task l  [kernel.kallsyms]                    [k] vfs_read
    10.28%     0.07%  Executor task l  [kernel.kallsyms]                    [k] new_sync_read
    10.17%     0.17%  Executor task l  [kernel.kallsyms]                    [k] filemap_read
     8.31%     0.97%  Executor task l  [kernel.kallsyms]                    [k] task_tick_fair
     7.01%     0.59%  Executor task l  [kernel.kallsyms]                    [k] perf_event_task_tick
     6.42%     2.81%  Executor task l  [kernel.kallsyms]                    [k] perf_adjust_freq_unthr_context
     5.59%     0.03%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter
     5.56%     0.08%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter_iovec
     5.49%     5.37%  Executor task l  [kernel.kallsyms]                    [k] copy_user_generic_string
     4.20%     0.03%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_pages
     3.74%     0.41%  Executor task l  [kernel.kallsyms]                    [k] __irq_exit_rcu
     3.68%     0.00%  Executor task l  [kernel.kallsyms]                    [k] __x64_sys_openat
     3.67%     0.01%  Executor task l  [kernel.kallsyms]                    [k] do_sys_openat2
     3.61%     1.27%  Executor task l  [kernel.kallsyms]                    [k] update_load_avg
     3.26%     0.02%  Executor task l  [kernel.kallsyms]                    [k] do_filp_open
     3.23%     0.02%  Executor task l  [kernel.kallsyms]                    [k] path_openat
     3.03%     0.02%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_disable_all
     2.92%     0.51%  Executor task l  [kernel.kallsyms]                    [k] __softirqentry_text_start
     2.77%     0.03%  Executor task l  [kernel.kallsyms]                    [k] page_cache_ra_unbounded
     2.70%     1.72%  Executor task l  [kernel.kallsyms]                    [k] account_user_time
     2.08%     2.01%  Executor task l  [kernel.kallsyms]                    [k] ktime_get_update_offsets_now
     2.05%     1.87%  Executor task l  [kernel.kallsyms]                    [k] x86_pmu_disable_all
     1.91%     1.37%  Executor task l  [kernel.kallsyms]                    [k] update_curr
     1.61%     0.25%  Executor task l  [kernel.kallsyms]                    [k] rcu_sched_clock_irq
     1.54%     0.13%  Executor task l  [kernel.kallsyms]                    [k] rcu_core
     1.31%     0.64%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_read_batch
     1.30%     0.00%  swapper          [kernel.kallsyms]                    [k] cpu_startup_entry
     1.30%     0.00%  swapper          [kernel.kallsyms]                    [k] secondary_startup_64_no_verify
     1.30%     0.01%  swapper          [kernel.kallsyms]                    [k] do_idle
     1.29%     1.17%  Executor task l  [kernel.kallsyms]                    [k] ktime_get
     1.24%     0.14%  Executor task l  [kernel.kallsyms]                    [k] exit_to_user_mode_prepare
     1.18%     1.16%  Executor task l  [kernel.kallsyms]                    [k] __update_load_avg_cfs_rq
     1.18%     0.41%  Executor task l  [kernel.kallsyms]                    [k] rcu_pending
